"source","translation_en_US"
"Drags the ground under the cursor. Edge scroll pauses while you drag so the two never fight.","Drags the ground under the cursor. Edge scroll pauses while you drag so the two never fight."
"Zoom","Zoom"
"Rotate","Rotate"
"Swings the view around the point you are looking at. Hold Shift to swing further, or hold Alt and drag with the middle button.","Swings the view around the point you are looking at. Hold Shift to swing further, or hold Alt and drag with the middle button."
"Click minimap","Click minimap"
"Minimap jump","Minimap jump"
"Click or drag the minimap","Click or drag the minimap"
"Left-click jumps the camera there; right-click sends the selection there.","Left-click jumps the camera there; right-click sends the selection there."
"Top bar button","Top bar button"
"Follow selection","Follow selection"
"Follow button, top bar","Follow button, top bar"
"Keeps the camera on whatever you have selected until you switch it off.","Keeps the camera on whatever you have selected until you switch it off."
"Reset camera","Reset camera"
"%1 or %2","%1 or %2"
"Slides the view over the battlefield and keeps going while held. Either the arrows or WASD; hold Shift to cover twice the ground per step.","Slides the view over the battlefield and keeps going while held. Either the arrows or WASD; hold Shift to cover twice the ground per step."
"Wheel or %1","Wheel or %1"
"Mouse wheel, or %1","Mouse wheel, or %1"
"Moves the camera closer to and further from the battle.","Moves the camera closer to and further from the battle."
"Tilt","Tilt"
"Raises the camera towards an overhead view or lowers it towards the horizon. Hold Shift to tilt further.","Raises the camera towards an overhead view or lowers it towards the horizon. Hold Shift to tilt further."
"%1, or the Reset button in the top bar","%1, or the Reset button in the top bar"
"Returns the view to your own camp, framed the way the battle opened.","Returns the view to your own camp, framed the way the battle opened."
"Moving the camera","Moving the camera"
"Hide the camera legend","Hide the camera legend"
"Camera settings","Camera settings"
"Carthage Core","Carthage Core"
"Carthaginian Iberia","Carthaginian Iberia"
"Cisalpine Gaul","Cisalpine Gaul"
"Corsica","Corsica"
"Etruria","Etruria"
"Iberian Interior","Iberian Interior"
"Libya","Libya"
"Numidia","Numidia"
"Roman Core","Roman Core"
"Sardinia","Sardinia"
"Sicily","Sicily"
"Southern Italy","Southern Italy"
"Transalpine Gaul","Transalpine Gaul"
"Illyrian Coast","Illyrian Coast"
"Illyrian Interior","Illyrian Interior"
"Aleria","Aleria"
"Ariminum","Ariminum"
"Capua","Capua"
"Caralis","Caralis"
"Carthage","Carthage"
"Cirta","Cirta"
"Emporiae","Emporiae"
"Leptis","Leptis"
"Lilybaeum","Lilybaeum"
"Massalia","Massalia"
"Mediolanum","Mediolanum"
"New Carthage","New Carthage"
"Numantia","Numantia"
"Placentia","Placentia"
"Rome","Rome"
"Saguntum","Saguntum"
"Salona","Salona"
"Syracuse","Syracuse"
"Tarentum","Tarentum"
"Tarraco","Tarraco"
"Tingis","Tingis"
"Veii","Veii"
"Campaign War Table • Mediterranean Theater","Campaign War Table • Mediterranean Theater"
"Campaign","Campaign"
"Campaign Chronicle •","Campaign Chronicle •"
"← Back","← Back"
"Campaign Chronicle","Campaign Chronicle"
"Campaign Progress:","Campaign Progress:"
"202 BC: recalled to Africa, Hannibal faces Scipio and Masinissa on the plain near Zama. The elephant lanes are prepared, the Roman camps are fortified, and the Iron Sepulcher no longer waits at the edge of history. Take all four camps and break both risings of the dead — nothing less ends this war.","202 BC: recalled to Africa, Hannibal faces Scipio and Masinissa on the plain near Zama. The elephant lanes are prepared, the Roman camps are fortified, and the Iron Sepulcher no longer waits at the edge of history. Take all four camps and break both risings of the dead — nothing less ends this war."
"215-212 BC: Capua and the Campanian allies sustain Hannibal while Rome avoids another Cannae and attacks roads, farms, and loyalties. Fortify the Punic supply quarter and break all three coordinated assaults — the quarter is not held until the last consular column lies dead in the streets.","215-212 BC: Capua and the Campanian allies sustain Hannibal while Rome avoids another Cannae and attacks roads, farms, and loyalties. Fortify the Punic supply quarter and break all three coordinated assaults — the quarter is not held until the last consular column lies dead in the streets."
"216 BC: the consuls mass Rome's greatest field army beside the Aufidus. Yield the Punic center by design, win both cavalry wings, close the double envelopment, then take the principal camp, the reserve camp, and the allied camp across the river road.","216 BC: the consuls mass Rome's greatest field army beside the Aufidus. Yield the Punic center by design, win both cavalry wings, close the double envelopment, then take the principal camp, the reserve camp, and the allied camp across the river road."
"217 BC: Flaminius pursues along the northern shore of Lake Trasimene. Mist closes the road between lake and wooded height — and it will not hold for long. Strike the length of the column and seize both field posts within twenty minutes, before the air clears and a cohort carries word out of the basin.","217 BC: Flaminius pursues along the northern shore of Lake Trasimene. Mist closes the road between lake and wooded height — and it will not hold for long. Strike the length of the column and seize both field posts within twenty minutes, before the air clears and a cohort carries word out of the basin."
"218 BC, winter: Sempronius Longus accepts the bait and drives his hungry army through the freezing Trebia. Hold the southern line and break all three crossings. You need not take his camp — you need only be standing when the river has finished with him.","218 BC, winter: Sempronius Longus accepts the bait and drives his hungry army through the freezing Trebia. Hold the southern line and break all three crossings. You need not take his camp — you need only be standing when the river has finished with him."
"218 BC: Hannibal turns from the Rhône into the Alps with soldiers, cavalry, baggage animals, and elephants. The pass cannot be taken by the sword alone — it must be paid for in timber, stone and iron. Set your builders to the slopes while the mountain peoples contest every switchback; do not follow the grave-lights into the snow.","218 BC: Hannibal turns from the Rhône into the Alps with soldiers, cavalry, baggage animals, and elephants. The pass cannot be taken by the sword alone — it must be paid for in timber, stone and iron. Set your builders to the slopes while the mountain peoples contest every switchback; do not follow the grave-lights into the snow."
"218 BC: near the Ticinus, Scipio's reconnaissance force tests Hannibal's cavalry. Win the mounted engagement, cut the bridge road, and overrun both Roman camps before their scouts carry a clean account back to the consul.","218 BC: near the Ticinus, Scipio's reconnaissance force tests Hannibal's cavalry. Win the mounted engagement, cut the bridge road, and overrun both Roman camps before their scouts carry a clean account back to the consul."
"218 BC: the Rhône must be secured faster than Publius Cornelius Scipio can bring his army from Massalia. In this altered campaign, Roman advance posts hold the eastern approaches. Cross by ford, pontoon, or wooded detour and seize their river camps.","218 BC: the Rhône must be secured faster than Publius Cornelius Scipio can bring his army from Massalia. In this altered campaign, Roman advance posts hold the eastern approaches. Cross by ford, pontoon, or wooded detour and seize their river camps."
"At dawn the market still stands and the consular roads are choked with Roman shields. Campania has bought the army another season, though every ally now understands how long Rome is willing to bleed.","At dawn the market still stands and the consular roads are choked with Roman shields. Campania has bought the army another season, though every ally now understands how long Rome is willing to bleed."
"Command Hannibal's Carthaginian army from the Alpine invasion of 218 BC to Zama in 202 BC. Break Roman camps, take fortified towns, preserve allied economies, and survive the Republic's answering legions while the Iron Sepulcher watches from roads older than either empire.","Command Hannibal's Carthaginian army from the Alpine invasion of 218 BC to Zama in 202 BC. Break Roman camps, take fortified towns, preserve allied economies, and survive the Republic's answering legions while the Iron Sepulcher watches from roads older than either empire."
"Flaminius and much of his army are lost beside the lake. Rome names Fabius dictator. In the drowned reeds, an Iron Sepulcher altar has fed well without choosing a side.","Flaminius and much of his army are lost beside the lake. Rome names Fabius dictator. In the drowned reeds, an Iron Sepulcher altar has fed well without choosing a side."
"The Barcid Road","The Barcid Road"
"The Roman army is destroyed and the camps are taken, yet Rome refuses negotiation. So many dead lie on the plain that the Sepulcher's iron bells sound beneath the earth for seven nights.","The Roman army is destroyed and the camps are taken, yet Rome refuses negotiation. So many dead lie on the plain that the Sepulcher's iron bells sound beneath the earth for seven nights."
"The Roman screen breaks and Scipio is carried from the field wounded. The Insubres see that Carthage can defeat Rome on Italian ground—but pale riders still haunt the abandoned ford.","The Roman screen breaks and Scipio is carried from the field wounded. The Insubres see that Carthage can defeat Rome on Italian ground—but pale riders still haunt the abandoned ford."
"The column reaches the plain of the Po diminished but unbroken. Italy lies below, and fires answer from Gallic settlements. Behind you, the sealed shrine in the pass begins counting the dead.","The column reaches the plain of the Po diminished but unbroken. Italy lies below, and fires answer from Gallic settlements. Behind you, the sealed shrine in the pass begins counting the dead."
"The ferries and supply road belong to Carthage. Scipio finds abandoned standards and cold cooking fires; Hannibal is already turning toward the mountains.","The ferries and supply road belong to Carthage. Scipio finds abandoned standards and cold cooking fires; Hannibal is already turning toward the mountains."
"The last standards fall under an African sky. Rome and Carthage will remember the field differently; the Iron Sepulcher remembers only that both armies finally entered its reach.","The last standards fall under an African sky. Rome and Carthage will remember the field differently; the Iron Sepulcher remembers only that both armies finally entered its reach."
"The survivors flee toward Placentia through sleet and mud. Roman tents, grain, and weapons are captured; bodies beneath the ice rise only when nobody is watching.","The survivors flee toward Placentia through sleet and mud. Roman tents, grain, and weapons are captured; bodies beneath the ice rise only when nobody is watching."
"Not enough wood, stone, or iron to recruit this unit.","Not enough wood, stone, or iron to recruit this unit."
"Click to dismiss","Click to dismiss"
"Their commander is dead. The host breaks and its camps stand empty.","Their commander is dead. The host breaks and its camps stand empty."
"%1 has lost its commander. The host breaks and its camps stand empty.","%1 has lost its commander. The host breaks and its camps stand empty."
"Quintus Fabius Maximus","Quintus Fabius Maximus"
"Rome's delaying strategist who preserves armies through discipline and staying power.","Rome's delaying strategist who preserves armies through discipline and staying power."
"A campaign and scenario commander; never produced from a barracks.","A campaign and scenario commander; never produced from a barracks."
"Heavy spear commander who anchors a disciplined battle line.","Heavy spear commander who anchors a disciplined battle line."
"Boosts nearby troop endurance and slows collapse in grind fights.","Boosts nearby troop endurance and slows collapse in grind fights."
"Lower offensive pressure and weaker pursuit potential.","Lower offensive pressure and weaker pursuit potential."
"Fabian Endurance keeps nearby cohorts in line for prolonged fighting.","Fabian Endurance keeps nearby cohorts in line for prolonged fighting."
"Rally of Patience stabilizes wavering lines during attritional combat.","Rally of Patience stabilizes wavering lines during attritional combat."
"If killed or wounded, nearby allies lose confidence and the aura shuts off.","If killed or wounded, nearby allies lose confidence and the aura shuts off."
"Publius Cornelius Scipio","Publius Cornelius Scipio"
"Aggressive Roman consul focused on decisive strikes and tactical initiative.","Aggressive Roman consul focused on decisive strikes and tactical initiative."
"Sword-and-shield infantry commander who leads close behind the main assault line.","Sword-and-shield infantry commander who leads close behind the main assault line."
"Improves nearby offensive output and enables sharper counter-pushes.","Improves nearby offensive output and enables sharper counter-pushes."
"More vulnerable if isolated away from supporting infantry.","More vulnerable if isolated away from supporting infantry."
"Consular Assault boosts nearby legion attack tempo.","Consular Assault boosts nearby legion attack tempo."
"Consular Rally rapidly restores morale to wavering assault cohorts.","Consular Rally rapidly restores morale to wavering assault cohorts."
"Death of the consul causes a severe morale shock to nearby Romans.","Death of the consul causes a severe morale shock to nearby Romans."
"Marcus Claudius Marcellus","Marcus Claudius Marcellus"
"Roman field commander known for fast shock actions and relentless pressure.","Roman field commander known for fast shock actions and relentless pressure."
"Lightly armored bow commander who supports aggressive vanguard action.","Lightly armored bow commander who supports aggressive vanguard action."
"Raises maneuver speed for nearby troops, enabling faster local redeployment.","Raises maneuver speed for nearby troops, enabling faster local redeployment."
"Lower staying power than other Roman commanders.","Lower staying power than other Roman commanders."
"Vanguard Tempo accelerates nearby infantry movement and line repositioning.","Vanguard Tempo accelerates nearby infantry movement and line repositioning."
"Vanguard Rally snaps wavering attackers back into coherent motion.","Vanguard Rally snaps wavering attackers back into coherent motion."
"If Marcellus falls, nearby attackers suffer immediate morale drop.","If Marcellus falls, nearby attackers suffer immediate morale drop."
"Hanno the Great","Hanno the Great"
"Bronze-spear commander coordinating disciplined mercenary infantry.","Bronze-spear commander coordinating disciplined mercenary infantry."
"Mediocre direct combat impact and risky if exposed.","Mediocre direct combat impact and risky if exposed."
"Treasury Rally restores wavering troops and keeps formations from breaking.","Treasury Rally restores wavering troops and keeps formations from breaking."
"Death triggers contract panic, reducing confidence in nearby troops.","Death triggers contract panic, reducing confidence in nearby troops."
"Hasdrubal Barca","Hasdrubal Barca"
"Mobile Carthaginian field commander built around decisive flanking momentum.","Mobile Carthaginian field commander built around decisive flanking momentum."
"Fast bow commander built around flanking pressure and withdrawal.","Fast bow commander built around flanking pressure and withdrawal."
"Increases nearby unit speed for coordinated flanks and withdrawals.","Increases nearby unit speed for coordinated flanks and withdrawals."
"Less resilient in prolonged frontal attrition.","Less resilient in prolonged frontal attrition."
"Barcid Maneuver grants nearby troops superior movement control.","Barcid Maneuver grants nearby troops superior movement control."
"Flank Rally rapidly restores wavering units preparing to maneuver.","Flank Rally rapidly restores wavering units preparing to maneuver."
"Loss of Hasdrubal sharply drops morale among nearby mobile forces.","Loss of Hasdrubal sharply drops morale among nearby mobile forces."
"Hannibal Barca","Hannibal Barca"
"Carthage's premier battlefield commander from the Hannibal campaign.","Carthage's premier battlefield commander from the Hannibal campaign."
"Elite sword commander with an iconic standard and sacred-band armor.","Elite sword commander with an iconic standard and sacred-band armor."
"Delivers a strong nearby attack bonus and elite crisis rally response.","Delivers a strong nearby attack bonus and elite crisis rally response."
"High-value target; losing him causes severe local collapse.","High-value target; losing him causes severe local collapse."
"Hannibalic Offensive amplifies nearby attack power before decisive engagements.","Hannibalic Offensive amplifies nearby attack power before decisive engagements."
"Supreme Rally restores routing or wavering units to fighting order.","Supreme Rally restores routing or wavering units to fighting order."
"If Hannibal is killed or wounded, nearby allied morale takes a heavy shock and aura ends.","If Hannibal is killed or wounded, nearby allied morale takes a heavy shock and aura ends."
"Nearby allied spearmen regenerate health fastest inside the aura.","Nearby allied spearmen regenerate health fastest inside the aura."
"Bracing Thrust","Bracing Thrust"
"Nearby allied swordsmen gain the most bonus damage in aura range.","Nearby allied swordsmen gain the most bonus damage in aura range."
"Consular Riposte","Consular Riposte"
"Nearby allied archers move fastest while in aura range.","Nearby allied archers move fastest while in aura range."
"Point-blank Volley","Point-blank Volley"
"Carthaginian phalanx commander who holds ground with hired spear levies.","Carthaginian phalanx commander who holds ground with hired spear levies."
"Keeps a braced spear line standing far longer than it should.","Keeps a braced spear line standing far longer than it should."
"Contract Discipline knits nearby spear levies into an unbroken hedge.","Contract Discipline knits nearby spear levies into an unbroken hedge."
"Nearby allied spearmen recover health fastest inside the aura.","Nearby allied spearmen recover health fastest inside the aura."
"Phalanx Sweep","Phalanx Sweep"
"Nearby allied archers gain the most movement speed in aura range.","Nearby allied archers gain the most movement speed in aura range."
"Hunting Shot","Hunting Shot"
"Nearby allied swordsmen gain substantial attack damage in aura range.","Nearby allied swordsmen gain substantial attack damage in aura range."
"Encircling Cut","Encircling Cut"
"Iron and Ember","Iron and Ember"
"Scale %1×  ·  %2  ·  colour vision: %3","Scale %1×  ·  %2  ·  colour vision: %3"
"reduced motion","reduced motion"
"full motion","full motion"
"Buttons","Buttons"
"Primary","Primary"
"Secondary","Secondary"
"Destructive","Destructive"
"Disabled","Disabled"
"Unavailable in this state","Unavailable in this state"
"Search","Search"
"Selected","Selected"
"Orders","Orders"
"Attack","Attack"
"Guard","Guard"
"Patrol","Patrol"
"Rally","Rally"
"Build","Build"
"Build is only available to builders","Build is only available to builders"
"Faction skins","Faction skins"
"Selection","Selection"
"Roman Spearmen ×24","Roman Spearmen ×24"
"Defense formation","Defense formation"
"Spearmen","Spearmen"
"Archers","Archers"
"Inputs","Inputs"
"Balanced","Balanced"
"Aggressive","Aggressive"
"Defensive","Defensive"
"Reduced motion","Reduced motion"
"Collapses transitions to an instant state change","Collapses transitions to an instant state change"
"Objectives","Objectives"
"Capture the eastern barracks","Capture the eastern barracks"
"Hold the ford until dusk","Hold the ford until dusk"
"Do not lose the commander","Do not lose the commander"
"Take no losses","Take no losses"
"Notification priorities","Notification priorities"
"Commander under attack","Commander under attack"
"Eastern approach, 3 hostiles","Eastern approach, 3 hostiles"
"Barracks destroyed","Barracks destroyed"
"Spearmen ready","Spearmen ready"
"Supply route restored","Supply route restored"
"Unit activities","Unit activities"
"A collapsible block of detail. The unit panel stacks one per topic.","A collapsible block of detail. The unit panel stacks one per topic."
"In the field","In the field"
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Anchor troops to a spot. They step out to meet what comes near, then walk back."
"Holding a spot","Holding a spot"
"Reach","Reach"
"They fight what comes within 10 m of that spot, and drop a target that leaves it.","They fight what comes within 10 m of that spot, and drop a target that leaves it."
"Release","Release"
"Press Guard again, or order a move or attack.","Press Guard again, or order a move or attack."
"Typefaces","Typefaces"
"Display: the quick brown fox","Display: the quick brown fox"
"Body: the quick brown fox jumps over the lazy dog","Body: the quick brown fox jumps over the lazy dog"
"Press a key or click a mouse button. Backspace clears it, Esc cancels.","Press a key or click a mouse button. Backspace clears it, Esc cancels."
"Reset all","Reset all"
"Every binding is already at its default.","Every binding is already at its default."
"%1 is already used by %2.","%1 is already used by %2."
"Use it here anyway","Use it here anyway"
"Keep as it is","Keep as it is"
"Taking it leaves the other command unbound.","Taking it leaves the other command unbound."
"Conflicts with %1","Conflicts with %1"
"Press a key…","Press a key…"
"Unbound","Unbound"
"Default","Default"
"This binding is already the default.","This binding is already the default."
"Select a command to rebind it. Each one takes two keys, so the camera can answer to the arrows and to WASD at once.","Select a command to rebind it. Each one takes two keys, so the camera can answer to the arrows and to WASD at once."
"Add a second key for %1","Add a second key for %1"
"Second key for %1","Second key for %1"
"The cursed vein is yours. It bleeds gold - and the men who guard it.","The cursed vein is yours. It bleeds gold - and the men who guard it."
"Enemy target","Enemy target"
"Cannot attack ally","Cannot attack ally"
"Cannot attack this target","Cannot attack this target"
"Selection cannot attack","Selection cannot attack"
"In range","In range"
"Too close","Too close"
"Out of range","Out of range"
"No firing line","No firing line"
"Collect","Collect"
"Deliver civilians","Deliver civilians"
"Repair","Repair"
"Harvest grain","Harvest grain"
"Slaughter sheep","Slaughter sheep"
"How it works","How it works"
"Hide these prompts","Hide these prompts"
"Gold","Gold"
"Food","Food"
"Wood","Wood"
"Stone","Stone"
"Iron","Iron"
"Comes from your starting treasury, mission rewards, and selling goods at a marketplace.","Comes from your starting treasury, mission rewards, and selling goods at a marketplace."
"Send a builder to chop a tree with Collect, or leave Auto Gather running.","Send a builder to chop a tree with Collect, or leave Auto Gather running."
"Send a builder to a boulder with Collect, or leave Auto Gather running.","Send a builder to a boulder with Collect, or leave Auto Gather running."
"Send a builder to an iron ore deposit with Collect, or leave Auto Gather running.","Send a builder to an iron ore deposit with Collect, or leave Auto Gather running."
"Home","Home"
"Barracks","Barracks"
"Defense Tower","Defense Tower"
"Marketplace","Marketplace"
"Temple","Temple"
"Wall Segment","Wall Segment"
"Wall Gate","Wall Gate"
"Catapult","Catapult"
"Ballista","Ballista"
"Archer","Archer"
"Swordsman","Swordsman"
"Spearman","Spearman"
"Horse Swordsman","Horse Swordsman"
"Horse Archer","Horse Archer"
"Horse Spearman","Horse Spearman"
"Healer","Healer"
"Builder","Builder"
"Civilian","Civilian"
"Elephant","Elephant"
"Recruits troops and receives everything your builders gather.","Recruits troops and receives everything your builders gather."
"Shoots at enemies that come near it.","Shoots at enemies that come near it."
"Buys and sells resources for gold.","Buys and sells resources for gold."
"Blocks enemy movement.","Blocks enemy movement."
"Opens for your troops and allies, shut to everyone else.","Opens for your troops and allies, shut to everyone else."
"Long-range siege engine, best against structures.","Long-range siege engine, best against structures."
"Precise siege engine, best against units.","Precise siege engine, best against units."
", and %1 more",", and %1 more"
"%1 %2","%1 %2"
"No resource cost","No resource cost"
"%1 more %2","%1 more %2"
"Nobody is gathering it right now.","Nobody is gathering it right now."
"Builders gathering it: %1","Builders gathering it: %1"
"%1 being hauled to a barracks","%1 being hauled to a barracks"
"Held in your treasury; no storage limit.","Held in your treasury; no storage limit."
"Hauled to a barracks yard before it is credited. The yard looks full at %1.","Hauled to a barracks yard before it is credited. The yard looks full at %1."
"Short %1 for a %2.","Short %1 for a %2."
"%1 in store: %2","%1 in store: %2"
"Spent on: %1","Spent on: %1"
"Step 1 — Gather","Step 1 — Gather"
"Step 2 — Build","Step 2 — Build"
"Step 3 — Recruit","Step 3 — Recruit"
"Step 4 — Keep an army","Step 4 — Keep an army"
"Your settlement runs itself","Your settlement runs itself"
"Recruit a builder at a barracks, then send it to collect wood, stone or iron.","Recruit a builder at a barracks, then send it to collect wood, stone or iron."
"With a builder selected, press Build and place a Home to raise your reserve, or a Barracks to recruit from.","With a builder selected, press Build and place a Home to raise your reserve, or a Barracks to recruit from."
"Select a barracks and recruit troops. Each one costs reserve and resources, both shown on its card.","Select a barracks and recruit troops. Each one costs reserve and resources, both shown on its card."
"Gathering, building and recruiting are all under way.","Gathering, building and recruiting are all under way."
"Send a builder to reap a ripe farm or slaughter a sheep with Collect, or leave Auto Gather running. Recruiting a civilian at a home spends it.","Send a builder to reap a ripe farm or slaughter a sheep with Collect, or leave Auto Gather running. Recruiting a civilian at a home spends it."
"Farm","Farm"
"Raises civilians, who carry reserve to the nearest barracks. Each one costs food.","Raises civilians, who carry reserve to the nearest barracks. Each one costs food."
"Grows grain in cycles. A builder reaps it for food once it ripens.","Grows grain in cycles. A builder reaps it for food once it ripens."
"Select a builder, press Collect, and click a tree, boulder, ore deposit, ripe farm or sheep. It hauls the load to a barracks yard, then goes back for more.","Select a builder, press Collect, and click a tree, boulder, ore deposit, ripe farm or sheep. It hauls the load to a barracks yard, then goes back for more."
"Keep recruiting while your builders gather. Raise Homes and Farms when reserve or food runs out.","Keep recruiting while your builders gather. Raise Homes and Farms when reserve or food runs out."
"Watches over a wide stretch of ground, holds a settlement together, and takes in healers.","Watches over a wide stretch of ground, holds a settlement together, and takes in healers."
"You have no builders. Recruit one at a barracks before you can gather or build.","You have no builders. Recruit one at a barracks before you can gather or build."
"Builders: %1 (%2 idle). Placing a structure sends every selected builder to the site.","Builders: %1 (%2 idle). Placing a structure sends every selected builder to the site."
"Recruiting draws on the reserve held by each barracks.","Recruiting draws on the reserve held by each barracks."
"Needs a barracks","Needs a barracks"
"Needs a builder","Needs a builder"
"Not enough reserve at the barracks","Not enough reserve at the barracks"
"Manpower limit reached","Manpower limit reached"
"Missing %1","Missing %1"
"Economy guide","Economy guide"
"Resources and Building","Resources and Building"
"Close the economy guide","Close the economy guide"
"Gather with builders, spend what they bring on structures, recruit from a barracks, and keep both running.","Gather with builders, spend what they bring on structures, recruit from a barracks, and keep both running."
"WHAT EACH RESOURCE IS FOR","WHAT EACH RESOURCE IS FOR"
"Spent on: %1","Spent on: %1"
"WHAT A BUILDER CAN RAISE","WHAT A BUILDER CAN RAISE"
"%1 — %2 · %3s","%1 — %2 · %3s"
"WHAT A BARRACKS CAN RECRUIT","WHAT A BARRACKS CAN RECRUIT"
"%1 — %2 reserve, %3 · %4s","%1 — %2 reserve, %3 · %4s"
"Back to the battle","Back to the battle"
"Manpower %1 / %2. A Home raises civilians for %3 food each; walking a civilian into a barracks adds %4 reserve. Farms ripen every %5s and sheep yield %6 food.","Manpower %1 / %2. A Home raises civilians for %3 food each; walking a civilian into a barracks adds %4 reserve. Farms ripen every %5s and sheep yield %6 food."
"Needs a home","Needs a home"
"Standard","Standard"
"Iron and Ember","Iron and Ember"
"Roman Republic","Roman Republic"
"Senatus Populusque Romanus","Senatus Populusque Romanus"
"Carthage","Carthage"
"Qart-Ḥadašt","Qart-Ḥadašt"
"Iron Sepulcher","Iron Sepulcher"
"The watch does not sleep","The watch does not sleep"
"POP","POP"
"Barracks","Barracks"
"Defense tower","Defense tower"
"Home","Home"
"Wall","Wall"
"Gate","Gate"
"Marketplace","Marketplace"
"Temple","Temple"
"Farm","Farm"
"No units selected.","No units selected."
"No units eligible for formation placement.","No units eligible for formation placement."
"This doctrine has no template for the chosen formation.","This doctrine has no template for the chosen formation."
"No part of this formation fits on the chosen ground.","No part of this formation fits on the chosen ground."
"Faction Default","Faction Default"
"Line","Line"
"Column","Column"
"Defensive","Defensive"
"Assault","Assault"
"Encirclement","Encirclement"
"Siege Escort","Siege Escort"
"Neutral","Neutral"
"Roman Republic","Roman Republic"
"Requires at least one siege engine in the selection.","Requires at least one siege engine in the selection."
