"source","translation_tr_TR"
"Army","Ordu"
"YOU","SEN"
"Esc closes the report","Esc raporu kapatır"
"Victory Conditions — complete all","Zafer Koşulları — hepsini tamamla"
"Victory Conditions — complete any","Zafer Koşulları — herhangi birini tamamla"
"Victory Conditions","Zafer Koşulları"
"Mission Steps — in order","Görev Adımları — sırayla"
"Next step","Sonraki adım"
"%1 of %2","%1 / %2"
"Complete the objective","Hedefi tamamla"
"Defeat Conditions","Yenilgi Koşulları"
"Avoid this condition","Bu koşuldan kaçın"
"Optional Objectives","İsteğe Bağlı Hedefler"
"Optional objective","İsteğe bağlı hedef"
"No mission objectives available.\nThis may be a skirmish, or objectives have not been configured.","Görev hedefi bulunmuyor.\nBu bir çatışma olabilir ya da hedefler tanımlanmamıştır."
"unbound","atanmamış"
"%1 or %2","%1 ya da %2"
"on, %1 px","açık, %1 px"
"off","kapalı"
"Screen edge","Ekran kenarı"
"Edge scroll","Kenardan kaydırma"
"Cursor to a screen edge","İmleci bir ekran kenarına götür"
"Push the pointer into any edge of the screen and the camera follows. Turn it off or change how wide the band is under Settings › Accessibility.","İşaretçiyi ekranın herhangi bir kenarına götür, kamera izlesin. Ayarlar › Erişilebilirlik altından kapatabilir ya da şeridin genişliğini değiştirebilirsin."
"Keyboard pan","Klavyeyle kaydırma"
"Slides the view over the battlefield and keeps going while held. Either the arrows or WASD; hold Shift to cover twice the ground per step.","Görüşü savaş alanı üzerinde kaydırır ve basılı tuttuğun sürece sürdürür. Ok tuşları ya da WASD; her adımda iki kat yol almak için Shift'i basılı tut."
"Middle-drag","Orta tuşla sürükleme"
"Drag pan","Sürükleyerek kaydırma"
"Hold middle button and drag","Orta tuşu basılı tutup sürükle"
"Drags the ground under the cursor. Edge scroll pauses while you drag so the two never fight.","İmlecin altındaki zemini sürükler. Sürüklerken kenardan kaydırma durur, böylece ikisi çakışmaz."
"Wheel or %1","Tekerlek ya da %1"
"Zoom","Yakınlaştırma"
"Mouse wheel, or %1","Fare tekerleği ya da %1"
"Moves the camera closer to and further from the battle.","Kamerayı savaşa yaklaştırır ve uzaklaştırır."
"Rotate","Döndürme"
"Swings the view around the point you are looking at. Hold Shift to swing further, or hold Alt and drag with the middle button.","Görüşü baktığın nokta çevresinde çevirir. Daha çok çevirmek için Shift'i basılı tut ya da Alt'ı basılı tutup orta tuşla sürükle."
"Tilt","Eğme"
"Raises the camera towards an overhead view or lowers it towards the horizon. Hold Shift to tilt further.","Kamerayı tepeden görünüme yükseltir ya da ufka doğru alçaltır. Daha çok eğmek için Shift'i basılı tut."
"Click minimap","Mini haritaya tıkla"
"Minimap jump","Mini haritayla atlama"
"Click or drag the minimap","Mini haritaya tıkla ya da sürükle"
"Left-click jumps the camera there; right-click sends the selection there.","Sol tık kamerayı oraya taşır; sağ tık seçimi oraya yollar."
"Top bar button","Üst çubuk düğmesi"
"Follow selection","Seçimi izle"
"Follow button, top bar","İzle düğmesi, üst çubuk"
"Keeps the camera on whatever you have selected until you switch it off.","Kamerayı, sen kapatana kadar seçtiğin şeyin üzerinde tutar."
"Reset camera","Kamerayı sıfırla"
"%1, or the Reset button in the top bar","%1 ya da üst çubuktaki Sıfırla düğmesi"
"Returns the view to your own camp, framed the way the battle opened.","Görüşü, savaşın açıldığı çerçeveyle kendi kampına döndürür."
"Moving the camera","Kamerayı hareket ettirme"
"Hide the camera legend","Kamera açıklamasını gizle"
"Camera settings","Kamera ayarları"
"Aleria","Aleria"
"Ariminum","Ariminum"
"Capua","Capua"
"Caralis","Caralis"
"Carthage","Kartaca"
"Carthage Core","Kartaca Çekirdeği"
"Carthaginian Iberia","Kartaca İberyası"
"Cirta","Cirta"
"Cisalpine Gaul","Cisalpin Galya"
"Corsica","Korsika"
"Emporiae","Emporiae"
"Etruria","Etruria"
"Iberian Interior","İberya İç Bölgesi"
"Illyrian Coast","İllirya Kıyısı"
"Illyrian Interior","İllirya İç Bölgesi"
"Leptis","Leptis"
"Libya","Libya"
"Lilybaeum","Lilybaeum"
"Massalia","Massalia"
"Mediolanum","Mediolanum"
"New Carthage","Yeni Kartaca"
"Numantia","Numantia"
"Numidia","Numidya"
"Placentia","Placentia"
"Roman Core","Roma Çekirdeği"
"Rome","Roma"
"Saguntum","Saguntum"
"Salona","Salona"
"Sardinia","Sardinya"
"Sicily","Sicilya"
"Southern Italy","Güney İtalya"
"Syracuse","Syracusa"
"Tarentum","Tarentum"
"Tarraco","Tarraco"
"Tingis","Tingis"
"Transalpine Gaul","Transalpin Galya"
"Veii","Veii"
"Campaign War Table • Mediterranean Theater","Sefer Harp Masası • Akdeniz Cephesi"
"Campaign","Sefer"
"Campaign Chronicle •","Sefer Vakayinamesi •"
"← Back","← Geri"
"Campaign Chronicle","Sefer Vakayinamesi"
"Campaign Progress:","Sefer İlerlemesi:"
"202 BC: recalled to Africa, Hannibal faces Scipio and Masinissa on the plain near Zama. The elephant lanes are prepared, the Roman camps are fortified, and the Iron Sepulcher no longer waits at the edge of history. Take all four camps and break both risings of the dead — nothing less ends this war.","MÖ 202: Afrika'ya geri çağrılan Hannibal, Zama yakınlarındaki ovada Scipio ve Masinissa ile karşı karşıya gelir. Fil koridorları hazırlanmış, Roma kampları tahkim edilmiş, Demir Kabir ise artık tarihin kıyısında beklemiyor. Dört kampı da al ve ölülerin iki kalkışını da kır — bundan azı bu savaşı bitirmez."
"215-212 BC: Capua and the Campanian allies sustain Hannibal while Rome avoids another Cannae and attacks roads, farms, and loyalties. Fortify the Punic supply quarter and break all three coordinated assaults — the quarter is not held until the last consular column lies dead in the streets.","MÖ 215-212: Capua ve Campania müttefikleri Hannibal'ı ayakta tutarken Roma yeni bir Cannae'den kaçınır ve yollara, tarlalara ve sadakatlere saldırır. Pön ikmal mahallesini tahkim et ve üç eşgüdümlü saldırıyı da kır — son konsül kolu sokaklarda ölü yatmadan mahalle tutulmuş sayılmaz."
"216 BC: the consuls mass Rome's greatest field army beside the Aufidus. Yield the Punic center by design, win both cavalry wings, close the double envelopment, then take the principal camp, the reserve camp, and the allied camp across the river road.","MÖ 216: konsüller Roma'nın en büyük sahra ordusunu Aufidus kıyısında toplar. Pön merkezini bilerek geri ver, iki süvari kanadını da kazan, çifte kuşatmayı kapat, sonra ana kampı, yedek kampı ve nehir yolunun karşısındaki müttefik kampı al."
"217 BC: Flaminius pursues along the northern shore of Lake Trasimene. Mist closes the road between lake and wooded height — and it will not hold for long. Strike the length of the column and seize both field posts within twenty minutes, before the air clears and a cohort carries word out of the basin.","MÖ 217: Flaminius, Trasimene Gölü'nün kuzey kıyısı boyunca takibe geçer. Sis, göl ile ormanlık yükselti arasındaki yolu kapatır — ve uzun sürmeyecektir. Kolun boyunca vur ve iki sahra karakolunu da yirmi dakika içinde ele geçir; hava açılıp bir kohort havzadan haber çıkarmadan önce."
"218 BC, winter: Sempronius Longus accepts the bait and drives his hungry army through the freezing Trebia. Hold the southern line and break all three crossings. You need not take his camp — you need only be standing when the river has finished with him.","MÖ 218, kış: Sempronius Longus yemi yutar ve aç ordusunu buz gibi Trebia'dan geçirir. Güney hattını tut ve üç geçidi de kır. Kampını almana gerek yok — nehir onunla işini bitirdiğinde ayakta duruyor olman yeter."
"218 BC: Hannibal turns from the Rhône into the Alps with soldiers, cavalry, baggage animals, and elephants. The pass cannot be taken by the sword alone — it must be paid for in timber, stone and iron. Set your builders to the slopes while the mountain peoples contest every switchback; do not follow the grave-lights into the snow.","MÖ 218: Hannibal, Rhône'dan askerleri, süvarileri, yük hayvanları ve filleriyle Alpler'e döner. Geçit yalnızca kılıçla alınamaz — bedeli kereste, taş ve demirle ödenmelidir. Dağ halkları her viraja itiraz ederken inşaatçılarını yamaçlara sür; mezar ışıklarının ardından kara girme."
"218 BC: near the Ticinus, Scipio's reconnaissance force tests Hannibal's cavalry. Win the mounted engagement, cut the bridge road, and overrun both Roman camps before their scouts carry a clean account back to the consul.","MÖ 218: Ticinus yakınlarında Scipio'nun keşif kuvveti Hannibal'ın süvarisini yoklar. Atlı çarpışmayı kazan, köprü yolunu kes ve izcileri konsüle temiz bir rapor götürmeden iki Roma kampını da ez."
"218 BC: the Rhône must be secured faster than Publius Cornelius Scipio can bring his army from Massalia. In this altered campaign, Roman advance posts hold the eastern approaches. Cross by ford, pontoon, or wooded detour and seize their river camps.","MÖ 218: Rhône, Publius Cornelius Scipio ordusunu Massalia'dan getirebilmeden önce güvenceye alınmalı. Bu değiştirilmiş seferde Roma ileri karakolları doğu yaklaşımlarını tutuyor. Sığ geçitten, dubalı köprüden ya da ormanlık bir dolambaçtan geç ve nehir kamplarını ele geçir."
"At dawn the market still stands and the consular roads are choked with Roman shields. Campania has bought the army another season, though every ally now understands how long Rome is willing to bleed.","Şafakta pazar hâlâ ayakta ve konsül yolları Roma kalkanlarıyla tıkalı. Campania orduya bir mevsim daha kazandırdı; gerçi artık her müttefik Roma'nın ne kadar kanamaya razı olduğunu anlıyor."
"Command Hannibal's Carthaginian army from the Alpine invasion of 218 BC to Zama in 202 BC. Break Roman camps, take fortified towns, preserve allied economies, and survive the Republic's answering legions while the Iron Sepulcher watches from roads older than either empire.","Hannibal'ın Kartaca ordusunu MÖ 218'deki Alp istilasından MÖ 202'deki Zama'ya kadar komuta et. Roma kamplarını kır, tahkimli kasabaları al, müttefik ekonomileri koru ve Demir Kabir her iki imparatorluktan da eski yollardan izlerken Cumhuriyet'in karşılık veren lejyonlarına karşı ayakta kal."
"Flaminius and much of his army are lost beside the lake. Rome names Fabius dictator. In the drowned reeds, an Iron Sepulcher altar has fed well without choosing a side.","Flaminius ve ordusunun büyük bölümü gölün kıyısında yitirildi. Roma, Fabius'u diktatör ilan eder. Suya gömülü sazlıklarda, taraf tutmayan bir Demir Kabir sunağı iyi beslendi."
"The Barcid Road","Barka Yolu"
"The Roman army is destroyed and the camps are taken, yet Rome refuses negotiation. So many dead lie on the plain that the Sepulcher's iron bells sound beneath the earth for seven nights.","Roma ordusu yok edildi ve kamplar alındı, yine de Roma görüşmeyi reddediyor. Ovada o kadar çok ölü yatıyor ki Kabir'in demir çanları yedi gece boyunca toprağın altından çınlıyor."
"The Roman screen breaks and Scipio is carried from the field wounded. The Insubres see that Carthage can defeat Rome on Italian ground—but pale riders still haunt the abandoned ford.","Roma perdesi yarılır ve Scipio yaralı olarak meydandan taşınır. İnsubreler Kartaca'nın Roma'yı İtalyan toprağında yenebileceğini görür — ama solgun atlılar hâlâ terk edilmiş geçidi arşınlıyor."
"The column reaches the plain of the Po diminished but unbroken. Italy lies below, and fires answer from Gallic settlements. Behind you, the sealed shrine in the pass begins counting the dead.","Kol, Po ovasına eksilmiş ama kırılmamış olarak ulaşır. İtalya aşağıda uzanır ve Galya yerleşimlerinden ateşler karşılık verir. Arkanda, geçitteki mühürlü mabet ölüleri saymaya başlar."
"The ferries and supply road belong to Carthage. Scipio finds abandoned standards and cold cooking fires; Hannibal is already turning toward the mountains.","Sallar ve ikmal yolu Kartaca'nın. Scipio terk edilmiş sancaklarla sönmüş ocaklar bulur; Hannibal çoktan dağlara dönmüştür."
"The last standards fall under an African sky. Rome and Carthage will remember the field differently; the Iron Sepulcher remembers only that both armies finally entered its reach.","Son sancaklar bir Afrika göğü altında düşer. Roma ile Kartaca meydanı farklı hatırlayacak; Demir Kabir yalnızca iki ordunun da sonunda erimine girdiğini hatırlıyor."
"The survivors flee toward Placentia through sleet and mud. Roman tents, grain, and weapons are captured; bodies beneath the ice rise only when nobody is watching.","Sağ kalanlar sulusepken ve çamurun içinden Placentia'ya kaçar. Roma çadırları, tahılı ve silahları ele geçirilir; buzun altındaki bedenler ise yalnızca kimse bakmazken kalkar."
"Not enough wood, stone, or iron to recruit this unit.","Bu birimi devşirmek için yeterli odun, taş ya da demir yok."
"Click to dismiss","Kapatmak için tıkla"
"ALLY","MÜTTEFİK"
"Their commander is dead. The host breaks and its camps stand empty.","Komutanları öldü. Ordu dağılıyor ve kampları boş kalıyor."
"%1 has lost its commander. The host breaks and its camps stand empty.","%1 komutanını yitirdi. Ordu dağılıyor ve kampları boş kalıyor."
"A camp gathered in. I shall keep it quiet and fed. That is what I am for.","Bir ordugâh devralındı. Sessiz ve karnı tok tutacağım. Ben bunun içinim."
"A camp lost. I have a dozen more, and the one you hold is the one I liked least.","Bir ordugâh kaybedildi. Bir düzine daha var; elindeki, en az sevdiğimdi."
"A camp lost. I have slept in worse hides and woken to better mornings.","Bir ordugâh kaybedildi. Daha beter inlerde uyudum, daha güzel sabahlara uyandım."
"A camp lost. I shall claim it was never mine. That is the beauty of having good clerks.","Bir ordugâh kaybedildi. Hiç benim olmadığını söyleyeceğim. İyi kâtiplerin faydası budur."
"A fresh column is on the road to you. Treat them courteously; several of them owe me money.","Taze bir kol sana doğru yolda. Onlara nazik davran; birkaçının bana borcu var."
"A victory, and a tidy one. I shall write it up as mostly mine; you would have done the same.","Bir zafer, hem de derli toplu. Kayda çoğunlukla benim diye geçireceğim; sen de aynısını yapardın."
"Advance. Double time. A slow attack is a gift to the enemy, and I am not generous.","İleri. Çabuk adım. Yavaş bir saldırı düşmana hediyedir, ben ise cömert değilim."
"Ah. Blades at last. I had begun to think you were a rumour with a baggage train.","Ah. Nihayet çelik. Ağırlık arabalarıyla dolaşan bir söylenti olduğunu düşünmeye başlamıştım."
"An army, and someone paying for it. Let us not pretend this is about glory. I will make you an offer at the end; you will not like the terms.","Bir ordu ve onu ödeyen biri. Bunun şan meselesi olduğunu farz etmeyelim. Sonunda sana bir teklif yapacağım; şartları hoşuna gitmeyecek."
"An assault on my camp. Every breach is coming out of someone's wages, and it will not be mine.","Ordugâhıma bir hücum. Her gedik birinin maaşından düşer, o da benimki olmayacak."
"An assault on my camp. Spend your men on it if you like; I have budgeted for exactly this kind of impatience.","Ordugâhıma bir hücum. İstersen adamlarını buna harca; tam da bu tür sabırsızlığı bütçeye koydum."
"Another camp for the Republic. Do stay and watch the standards go up; you will not see it done better.","Cumhuriyet'e bir ordugâh daha. Kal da sancakların yükselişini gör; daha iyi yapıldığını göremezsin."
"Another camp gathered in. Slowly, like fruit. Rot takes the ones you leave on the branch.","Bir ordugâh daha devralındı. Yavaşça, meyve gibi. Çürüklük, dalda bıraktıklarını alır."
"Another column comes down the road. Rome walks slowly and never, ever stops.","Yoldan bir kol daha iniyor. Roma yavaş yürür ve asla, asla durmaz."
"Another standard on my frontier. I have counted your tents from the ridge - it did not take long. Rome has surveyed better men than you and buried them in straighter rows.","Sınırımda bir sancak daha. Çadırlarını sırttan saydım; uzun sürmedi. Roma senden iyilerini ölçtü ve daha düzgün sıralarla gömdü."
"At my walls, are you. Keep swinging. Every man you put there is a man not guarding your own.","Demek surlarımdasın. Vurmaya devam et. Oraya koyduğun her adam, kendi adamlarını korumayan bir adamdır."
"Beaten, on this ground, today. Note the qualifications. I have made a career of the ground and the day after.","Yenildim, bu toprakta, bugün. Kayıtlara dikkat et. Ben kariyerimi toprak ve ertesi gün üzerine kurdum."
"Beaten. Beside you, which stings. I shall mention that the ground was poor and the allies poorer.","Yenildim. Hem de senin yanında; asıl acıtan bu. Zeminin kötü, müttefiklerin daha da kötü olduğunu söyleyeceğim."
"Beaten. Fair. You held when I thought you would run and you hit when I thought you would hold. I will not forget your standard.","Yenildim. Adilce. Kaçacağını sandığımda durdun, duracağını sandığımda vurdun. Sancağını unutmayacağım."
"Beaten. I shall write it down as an expense and you as a creditor. I pay my creditors. Eventually, and never in full.","Yenildim. Bunu gider, seni de alacaklı diye yazacağım. Alacaklılarıma öderim. Zamanla ve asla tamamını değil."
"Beaten. My brother would have a speech for this. I have only a road home and a great many arrows still in the quiver.","Yenildim. Kardeşimin buna bir nutku olurdu. Benim yalnızca bir eve dönüş yolum ve sadağımda hâlâ pek çok okum var."
"Camp taken. At the run. Next one is yours, if you are quick.","Ordugâh alındı. Koşarak. Sıradaki senin, çabuk olursan."
"Cohorts moving. Fast. Keep up if you can.","Kohortlar hareket ediyor. Hızlı. Yetişebilirsen yetiş."
"Cohorts, forward. Fast. Hit them before they finish thinking.","Kohortlar, ileri. Hızlı. Düşünmeleri bitmeden vurun."
"Done. You came at the wrong tempo and I was already inside it. Lie down; the surgeons work through the fallen in the order they fell.","Bitti. Yanlış tempoyla geldin, ben zaten onun içindeydim. Uzan; cerrahlar düşenlere düştükleri sırayla bakar."
"Down, then. Tell them Marcellus died forward. Tell them the ground was worth it. Both are true.","Demek düştüm. Onlara Marcellus'un ileri giderken öldüğünü söyleyin. Toprağın buna değdiğini söyleyin. İkisi de doğru."
"Down. You came in fast and hungry, and hungry things walk into snares. Rest. The country will not miss you.","Düştüm. Hızlı ve aç geldin; aç olanlar tuzağa yürür. Dinlen. Bu ülke seni aramaz."
"Finished. I shall put your camp in the books as a purchase. Blood is a currency like any other; you simply overpaid.","Tamamlandı. Ordugâhını defterlere alım olarak geçireceğim. Kan da her para gibi bir paradır; sen sadece fazla ödedin."
"Finished. You fought like a wall - solid, honest, and completely unable to turn around.","Tamamlandı. Bir duvar gibi dövüştün: sağlam, dürüst ve dönmeyi bütünüyle beceremeyen."
"First blood. Good. I was beginning to worry you were one of those enemies who negotiate.","İlk kan. Güzel. Pazarlık eden düşmanlardan biri olmandan korkmaya başlamıştım."
"Forward, in order. If you have a reserve, this would be the moment to discover it does not exist.","İleri, düzenle. İhtiyatın varsa, olmadığını keşfetmek için tam sırası."
"Forward, in pay order. Mercenaries fight best when they can see the paymaster watching.","İleri, ödeme sırasıyla. Paralı askerler, ödeyicinin baktığını gördüklerinde daha iyi dövüşür."
"Forward, quietly. The best charge is the one the enemy hears about afterwards.","İleri, sessizce. En iyi hücum, düşmanın sonradan haber aldığıdır."
"Forward. If it seems too easy, that is because it is meant to.","İleri. Fazla kolay görünüyorsa, öyle görünmesi içindir."
"Fresh cohorts on the road. They march fast because I told them to.","Yolda taze kohortlar var. Hızlı yürüyorlar, çünkü ben emrettim."
"Good. An enemy who shows up. Half my career was spent chasing ones who did not. Let us get on with it.","Güzel. Ortaya çıkan bir düşman. Kariyerimin yarısını çıkmayanları kovalayarak geçirdim. Başlayalım."
"Hitting my camp, are we? Every stone you knock loose has already been invoiced to your treasury.","Demek ordugâhıma vuruyorsun? Söktüğün her taş çoktan hazinene fatura edildi."
"Hitting my camp. Spend your strength there while my hunters spend theirs on your wagons.","Ordugâhıma vuruyorsun. Gücünü orada harca; benim avcılarım da kendi güçlerini arabalarına harcasın."
"Hitting my walls, are you. Every man you spend there is one I need not outwit later.","Demek surlarımdasın. Orada harcadığın her adam, sonradan alt etmek zorunda kalmayacağım biridir."
"I am advancing. It will not look like much. It is not meant to.","İlerliyorum. Pek bir şeye benzemeyecek. Benzemesi de gerekmiyor."
"I am at the end of what patience can buy. Come, or write to my family. Either will do; only one is useful.","Sabrın satın alabileceğinin sonuna geldim. Gel, ya da aileme yaz. İkisi de olur; yalnız biri işe yarar."
"I am attacking. Do not take it personally; I am simply collecting on ground you owe me.","Saldırıyorum. Üstüne alınma; sadece bana borçlu olduğun toprağı tahsil ediyorum."
"I am attacking. Hold your side. If this is wasted, I shall be sending you the bill.","Saldırıyorum. Kendi yanını tut. Bu boşa giderse hesabı sana yollarım."
"I am attacking. If you wished to be consulted, you should have brought more men.","Saldırıyorum. Fikrin sorulsun istiyorduysan daha çok adam getirecektin."
"I am bleeding men, and each one was paid in advance. This is not a battle, it is an audit, and it is going badly.","Adam kaybediyorum ve her biri peşin ödenmişti. Bu bir muharebe değil, bir teftiş, ve kötü gidiyor."
"I am coming at you now. All of it. Do not blink; you will miss the only part that matters.","Şimdi üstüne geliyorum. Hepsiyle. Gözünü kırpma; önemli olan tek kısmı kaçırırsın."
"I am coming for you. Not from where you are looking. I never come from where you are looking.","Peşinden geliyorum. Baktığın yerden değil. Ben hiç baktığın yerden gelmem."
"I am down to the last of them. If you are coming, run.","Elimde son kalanlar var. Geliyorsan, koş."
"I am going in. Now. Hit them from your side or watch me do it alone.","Giriyorum. Şimdi. Kendi tarafından vur ya da tek başıma yapışımı izle."
"I am losing cohorts faster than the treasury can replace them, and the treasury is quicker than you think.","Kohortları hazinenin yerine koyabildiğinden hızlı kaybediyorum, hazine de sandığından hızlıdır."
"I am losing men and I cannot replace them out here. If you have spare, I have work for them.","Adam kaybediyorum ve burada yerlerini dolduramam. Fazlan varsa, onlara işim var."
"I am losing men at a rate I do not care for. The ledger still balances. Do not let it stop balancing.","Hoşuma gitmeyen bir hızla adam kaybediyorum. Defter hâlâ tutuyor. Tutmaz hâle gelmesine izin verme."
"I am losing men fast. Faster than I like, and I like it fast. Something has to change.","Hızla adam kaybediyorum. Sevdiğimden de hızlı, ki ben hızlıyı severim. Bir şeyin değişmesi gerek."
"I am losing men. Not to cleverness, to weight. Lend me some of yours, or a distraction, or both.","Adam kaybediyorum. Zekâdan değil, ağırlıktan. Bana kendi adamlarından ödünç ver, ya da bir oyalama, ya da ikisi."
"I am moving on them. Do not follow me directly; be where they run to.","Üzerlerine gidiyorum. Ardımdan doğrudan gelme; kaçacakları yerde ol."
"I am moving on them. Slowly, from the high ground. Do not wait for me; be where they break to.","Üzerlerine gidiyorum. Yavaşça, yüksekten. Beni bekleme; dağılacakları yerde ol."
"I am nearly done here. Nearly. The last few are hunters, and hunters are patient about dying.","Burada neredeyse bitirdim. Neredeyse. Son kalanlar avcı, avcılar da ölmekte sabırlıdır."
"I am nearly done, they say. I have crossed mountains on nearly. Do not count what is left of me; count what it is still holding.","Neredeyse bittiğimi söylüyorlar. Ben o ""neredeyse"" ile dağlar aştım. Benden geriye kalanı değil, onun hâlâ neyi tuttuğunu say."
"I am nearly finished, they say. Nearly. A fire is nearly out for a long time before it goes cold, and it burns fingers all the while.","Neredeyse tükendiğimi söylüyorlar. Neredeyse. Bir ateş sönmeden çok önce neredeyse sönmüştür ve bu süre boyunca parmak yakar."
"I am nearly finished. I would rather not be. Consider this an invoice for immediate assistance.","Neredeyse tükendim. Olmasam iyiydi. Bunu derhal yardım için kesilmiş bir fatura say."
"I am nearly out of men. Nearly. The last handful are the ones who stayed, and those are the ones you should fear.","Neredeyse adamım kalmadı. Neredeyse. Son avuç, kalanlardır; korkman gerekenler de onlardır."
"I am sending men forward now. Not many. Enough. One does not empty the granary to kill a fox.","Şimdi öne adam yolluyorum. Çok değil. Yeterince. Bir tilkiyi öldürmek için ambar boşaltılmaz."
"I am sending the cohorts down now. Count them as they come. It will give you something to do with your last minutes.","Kohortları şimdi aşağı yolluyorum. Gelirken say. Son dakikalarında yapacak bir işin olur."
"I am sending the column now. It will not look like an attack until it is one.","Kolu şimdi yolluyorum. Saldırıya dönüşene kadar saldırıya benzemeyecek."
"I see your banners. I saw others like them, years ago; they made excellent kindling. Take your time. I intend to take mine.","Sancaklarını görüyorum. Yıllar önce benzerlerini gördüm; mükemmel çıra oldular. Acele etme. Ben de etmeye niyetli değilim."
"Keep the field, then. Rome does not lose provinces - she lends them, at interest. My accountants will be along in the spring, and they are far less pleasant than I am.","Öyleyse meydan senin olsun. Roma eyalet kaybetmez; faiziyle ödünç verir. Muhasebecilerim baharda uğrar ve benden çok daha tatsızdırlar."
"Look at that. You are bleeding out and still holding the ground. Brave. Wrong, but brave.","Şuna bak. Kan kaybediyorsun ve hâlâ toprağı tutuyorsun. Cesur. Yanlış, ama cesur."
"Look at them fall. I did warn you that arithmetic is cruel, and I am only its clerk.","Düşüşlerini izle. Aritmetiğin zalim olduğunu söylemiştim, ben yalnızca onun kâtibiyim."
"Look at your line. Brave men, standing where the arrows are. Whose idea was that?","Hattına bak. Okların düştüğü yerde duran cesur adamlar. Kimin fikriydi bu?"
"Look at your line. Brave, disciplined, and in exactly the wrong place. Rome taught you well.","Hattına bak. Cesur, disiplinli ve tam da yanlış yerde. Roma sana iyi öğretmiş."
"Look at your losses. Whoever is paying for this war is getting very poor value.","Kayıplarına bak. Bu savaşı kim ödüyorsa parasının karşılığını çok kötü alıyor."
