"source","translation_ru_RU"
"Slides the view over the battlefield and keeps going while held. Either the arrows or WASD; hold Shift to cover twice the ground per step.","Сдвигает вид над полем боя и продолжает, пока клавиша зажата. Стрелки или WASD; удерживайте Shift, чтобы за шаг проходить вдвое больше."
"Middle-drag","Средняя кнопка"
"Drag pan","Сдвиг перетаскиванием"
"Hold middle button and drag","Удерживайте среднюю кнопку и тяните"
"Drags the ground under the cursor. Edge scroll pauses while you drag so the two never fight.","Тянет землю под курсором. Прокрутка у края замирает на время перетаскивания, чтобы одно не мешало другому."
"Wheel or %1","Колесо или %1"
"Zoom","Приближение"
"Mouse wheel, or %1","Колесо мыши или %1"
"Moves the camera closer to and further from the battle.","Придвигает камеру к бою и отодвигает от него."
"Rotate","Поворот"
"Swings the view around the point you are looking at. Hold Shift to swing further, or hold Alt and drag with the middle button.","Вращает вид вокруг точки, на которую вы смотрите. Удерживайте Shift, чтобы повернуть дальше, или зажмите Alt и тяните средней кнопкой."
"Tilt","Наклон"
"Raises the camera towards an overhead view or lowers it towards the horizon. Hold Shift to tilt further.","Поднимает камеру к виду сверху или опускает к горизонту. Удерживайте Shift, чтобы наклонить дальше."
"Click minimap","Щелчок по мини-карте"
"Minimap jump","Переход по мини-карте"
"Click or drag the minimap","Щёлкните или потяните мини-карту"
"Left-click jumps the camera there; right-click sends the selection there.","Левая кнопка переносит туда камеру, правая отправляет туда выделенных."
"Top bar button","Кнопка на верхней панели"
"Follow selection","Следить за выделенным"
"Follow button, top bar","Кнопка слежения на верхней панели"
"Keeps the camera on whatever you have selected until you switch it off.","Держит камеру на выделенном, пока вы это не выключите."
"Reset camera","Сбросить камеру"
"%1, or the Reset button in the top bar","%1 или кнопка «Сброс» на верхней панели"
"Returns the view to your own camp, framed the way the battle opened.","Возвращает вид к вашему лагерю в том виде, в каком начиналась битва."
"Moving the camera","Управление камерой"
"Hide the camera legend","Скрыть подсказки камеры"
"Camera settings","Настройки камеры"
"Aleria","Алерия"
"Ariminum","Аримин"
"Capua","Капуя"
"Caralis","Каралис"
"Carthage","Карфаген"
"Carthage Core","Ядро Карфагена"
"Carthaginian Iberia","Карфагенская Иберия"
"Cirta","Цирта"
"Cisalpine Gaul","Цизальпийская Галлия"
"Corsica","Корсика"
"Emporiae","Эмпории"
"Etruria","Этрурия"
"Iberian Interior","Внутренняя Иберия"
"Illyrian Coast","Иллирийское побережье"
"Illyrian Interior","Внутренняя Иллирия"
"Leptis","Лептис"
"Libya","Ливия"
"Lilybaeum","Лилибей"
"Massalia","Массалия"
"Mediolanum","Медиолан"
"New Carthage","Новый Карфаген"
"Numantia","Нуманция"
"Numidia","Нумидия"
"Placentia","Плаценция"
"Roman Core","Ядро Рима"
"Rome","Рим"
"Saguntum","Сагунт"
"Salona","Салона"
"Sardinia","Сардиния"
"Sicily","Сицилия"
"Southern Italy","Южная Италия"
"Syracuse","Сиракузы"
"Tarentum","Тарент"
"Tarraco","Тарракон"
"Tingis","Тингис"
"Transalpine Gaul","Трансальпийская Галлия"
"Veii","Вейи"
"Campaign War Table • Mediterranean Theater","Военный стол кампании • Средиземноморский театр"
"Campaign","Кампания"
"Campaign Chronicle •","Хроника кампании •"
"← Back","← Назад"
"Campaign Chronicle","Хроника кампании"
"Campaign Progress:","Ход кампании:"
"202 BC: recalled to Africa, Hannibal faces Scipio and Masinissa on the plain near Zama. The elephant lanes are prepared, the Roman camps are fortified, and the Iron Sepulcher no longer waits at the edge of history. Take all four camps and break both risings of the dead — nothing less ends this war.","202 г. до н. э.: отозванный в Африку Ганнибал встречает Сципиона и Масиниссу на равнине близ Замы. Проходы для слонов подготовлены, римские лагеря укреплены, и Железная Гробница больше не ждёт на краю истории. Возьмите все четыре лагеря и сломите оба восстания мёртвых — меньшим эту войну не закончить."
"215-212 BC: Capua and the Campanian allies sustain Hannibal while Rome avoids another Cannae and attacks roads, farms, and loyalties. Fortify the Punic supply quarter and break all three coordinated assaults — the quarter is not held until the last consular column lies dead in the streets.","215–212 гг. до н. э.: Капуя и кампанские союзники кормят Ганнибала, пока Рим избегает новых Канн и бьёт по дорогам, полям и верности. Укрепите пунический квартал снабжения и сломите все три согласованных удара — квартал не удержан, пока последняя консульская колонна не ляжет на улицах."
"216 BC: the consuls mass Rome's greatest field army beside the Aufidus. Yield the Punic center by design, win both cavalry wings, close the double envelopment, then take the principal camp, the reserve camp, and the allied camp across the river road.","216 г. до н. э.: консулы собирают у Ауфида крупнейшую полевую армию Рима. Намеренно уступите пуническим центром, выиграйте оба конных крыла, замкните двойное окружение, а затем возьмите главный лагерь, резервный лагерь и союзнический лагерь у дороги за рекой."
"217 BC: Flaminius pursues along the northern shore of Lake Trasimene. Mist closes the road between lake and wooded height — and it will not hold for long. Strike the length of the column and seize both field posts within twenty minutes, before the air clears and a cohort carries word out of the basin.","217 г. до н. э.: Фламиний преследует вдоль северного берега Тразименского озера. Туман запирает дорогу между озером и лесистой высотой — и продержится он недолго. Ударьте по всей длине колонны и займите оба полевых поста за двадцать минут, прежде чем воздух прояснится и когорта вынесет весть из котловины."
"218 BC, winter: Sempronius Longus accepts the bait and drives his hungry army through the freezing Trebia. Hold the southern line and break all three crossings. You need not take his camp — you need only be standing when the river has finished with him.","218 г. до н. э., зима: Семпроний Лонг заглатывает наживку и гонит голодную армию через ледяную Требию. Удержите южную линию и сорвите все три переправы. Брать его лагерь не нужно — достаточно устоять, когда река закончит с ним."
"218 BC: Hannibal turns from the Rhône into the Alps with soldiers, cavalry, baggage animals, and elephants. The pass cannot be taken by the sword alone — it must be paid for in timber, stone and iron. Set your builders to the slopes while the mountain peoples contest every switchback; do not follow the grave-lights into the snow.","218 г. до н. э.: от Родана Ганнибал сворачивает в Альпы с пехотой, конницей, вьючными животными и слонами. Перевал не взять одним мечом — за него платят древесиной, камнем и железом. Поставьте строителей на склоны, пока горцы оспаривают каждый серпантин; не идите за могильными огнями в снег."
"218 BC: near the Ticinus, Scipio's reconnaissance force tests Hannibal's cavalry. Win the mounted engagement, cut the bridge road, and overrun both Roman camps before their scouts carry a clean account back to the consul.","218 г. до н. э.: у Тицина разведывательный отряд Сципиона испытывает конницу Ганнибала. Выиграйте конную схватку, перережьте дорогу к мосту и сомните оба римских лагеря, прежде чем их разведчики донесут консулу точный отчёт."
"218 BC: the Rhône must be secured faster than Publius Cornelius Scipio can bring his army from Massalia. In this altered campaign, Roman advance posts hold the eastern approaches. Cross by ford, pontoon, or wooded detour and seize their river camps.","218 г. до н. э.: Родан нужно захватить быстрее, чем Публий Корнелий Сципион приведёт армию из Массалии. В этой изменённой кампании римские передовые посты держат восточные подходы. Переправьтесь бродом, по понтонам или лесным обходом и займите их речные лагеря."
"At dawn the market still stands and the consular roads are choked with Roman shields. Campania has bought the army another season, though every ally now understands how long Rome is willing to bleed.","На рассвете рынок ещё стоит, а консульские дороги забиты римскими щитами. Кампания купила армии ещё один сезон, хотя каждый союзник теперь понимает, как долго Рим готов истекать кровью."
"Command Hannibal's Carthaginian army from the Alpine invasion of 218 BC to Zama in 202 BC. Break Roman camps, take fortified towns, preserve allied economies, and survive the Republic's answering legions while the Iron Sepulcher watches from roads older than either empire.","Ведите карфагенскую армию Ганнибала от альпийского вторжения 218 г. до н. э. до Замы в 202 г. до н. э. Рушьте римские лагеря, берите укреплённые города, храните хозяйства союзников и переживите ответные легионы Республики, пока Железная Гробница смотрит с дорог, что старше обеих держав."
"Flaminius and much of his army are lost beside the lake. Rome names Fabius dictator. In the drowned reeds, an Iron Sepulcher altar has fed well without choosing a side.","Фламиний и большая часть его армии гибнут у озера. Рим назначает Фабия диктатором. В затопленном тростнике алтарь Железной Гробницы наелся досыта, так и не выбрав сторону."
"The Barcid Road","Дорога Баркидов"
"The Roman army is destroyed and the camps are taken, yet Rome refuses negotiation. So many dead lie on the plain that the Sepulcher's iron bells sound beneath the earth for seven nights.","Римская армия уничтожена, лагеря взяты, но Рим отказывается от переговоров. На равнине столько мёртвых, что железные колокола Гробницы гудят под землёй семь ночей."
"The Roman screen breaks and Scipio is carried from the field wounded. The Insubres see that Carthage can defeat Rome on Italian ground—but pale riders still haunt the abandoned ford.","Римское прикрытие рвётся, раненого Сципиона уносят с поля. Инсубры видят: Карфаген способен побеждать Рим на италийской земле — но у брошенного брода всё ещё бродят бледные всадники."
"The column reaches the plain of the Po diminished but unbroken. Italy lies below, and fires answer from Gallic settlements. Behind you, the sealed shrine in the pass begins counting the dead.","Колонна выходит на равнину По поредевшей, но несломленной. Внизу лежит Италия, и из галльских поселений отвечают костры. Позади вас запечатанное святилище на перевале начинает считать мёртвых."
"The ferries and supply road belong to Carthage. Scipio finds abandoned standards and cold cooking fires; Hannibal is already turning toward the mountains.","Переправы и дорога снабжения принадлежат Карфагену. Сципион находит брошенные значки и остывшие костры; Ганнибал уже поворачивает к горам."
"The last standards fall under an African sky. Rome and Carthage will remember the field differently; the Iron Sepulcher remembers only that both armies finally entered its reach.","Последние значки падают под африканским небом. Рим и Карфаген запомнят это поле по-разному; Железная Гробница помнит лишь то, что обе армии наконец вошли в её досягаемость."
"The survivors flee toward Placentia through sleet and mud. Roman tents, grain, and weapons are captured; bodies beneath the ice rise only when nobody is watching.","Уцелевшие бегут к Плаценции сквозь снег с дождём и грязь. Римские шатры, зерно и оружие захвачены; тела подо льдом встают только тогда, когда никто не смотрит."
"Not enough wood, stone, or iron to recruit this unit.","Недостаточно древесины, камня или железа для найма этого отряда."
"Click to dismiss","Щёлкните, чтобы закрыть"
"ALLY","СОЮЗНИК"
"Their commander is dead. The host breaks and its camps stand empty.","Их полководец мёртв. Войско рассыпается, его лагеря пусты."
"%1 has lost its commander. The host breaks and its camps stand empty.","%1 теряет полководца. Войско рассыпается, его лагеря пусты."
"A camp gathered in. I shall keep it quiet and fed. That is what I am for.","Лагерь прибран. Буду держать его тихим и сытым. Для того я и нужен."
"A camp lost. I have a dozen more, and the one you hold is the one I liked least.","Лагерь потерян. У меня их ещё дюжина, а тот, что ты занял, нравился мне меньше всех."
"A camp lost. I have slept in worse hides and woken to better mornings.","Лагерь потерян. Я спал в худших логовах и просыпался к лучшим утрам."
"A camp lost. I shall claim it was never mine. That is the beauty of having good clerks.","Лагерь потерян. Скажу, что он никогда не был моим. В этом вся прелесть хороших писцов."
"A fresh column is on the road to you. Treat them courteously; several of them owe me money.","Свежая колонна идёт к тебе. Обходись с ними учтиво; некоторые должны мне денег."
"A victory, and a tidy one. I shall write it up as mostly mine; you would have done the same.","Победа, и опрятная. Запишу её как по большей части мою; ты поступил бы так же."
"Advance. Double time. A slow attack is a gift to the enemy, and I am not generous.","Вперёд. Беглым шагом. Медленная атака — подарок врагу, а я не щедр."
"Ah. Blades at last. I had begun to think you were a rumour with a baggage train.","А. Наконец-то клинки. Я уж начал думать, что ты слух с обозом."
"An army, and someone paying for it. Let us not pretend this is about glory. I will make you an offer at the end; you will not like the terms.","Войско, и кто-то, кто за него платит. Не будем делать вид, что дело в славе. В конце я сделаю тебе предложение; условия тебе не понравятся."
"An assault on my camp. Every breach is coming out of someone's wages, and it will not be mine.","Приступ на мой лагерь. Каждый пролом вычтут у кого-то из жалованья, и это будет не моё."
"An assault on my camp. Spend your men on it if you like; I have budgeted for exactly this kind of impatience.","Приступ на мой лагерь. Трать на него людей, если угодно; именно такое нетерпение у меня заложено в смету."
"Another camp for the Republic. Do stay and watch the standards go up; you will not see it done better.","Ещё один лагерь Республике. Останься и погляди, как поднимают знамёна; лучше этого ты не увидишь."
"Another camp gathered in. Slowly, like fruit. Rot takes the ones you leave on the branch.","Ещё один лагерь прибран. Медленно, как плоды. Гниль берёт те, что оставляешь на ветке."
"Another column comes down the road. Rome walks slowly and never, ever stops.","Ещё одна колонна спускается по дороге. Рим идёт медленно и не останавливается никогда."
"Another standard on my frontier. I have counted your tents from the ridge - it did not take long. Rome has surveyed better men than you and buried them in straighter rows.","Ещё одно знамя на моей границе. Я сосчитал твои шатры с гребня — это заняло немного. Рим обмерял людей получше тебя и хоронил их ровнее."
"At my walls, are you. Keep swinging. Every man you put there is a man not guarding your own.","Значит, у моих стен. Бей дальше. Каждый человек, поставленный туда, не стережёт твоих."
"Beaten, on this ground, today. Note the qualifications. I have made a career of the ground and the day after.","Побеждён, на этой земле, сегодня. Заметь оговорки. Я сделал карьеру на земле и на дне следующем."
"Beaten. Beside you, which stings. I shall mention that the ground was poor and the allies poorer.","Побеждён. Рядом с тобой, что и жжёт. Скажу, что земля была плоха, а союзники ещё хуже."
"Beaten. Fair. You held when I thought you would run and you hit when I thought you would hold. I will not forget your standard.","Побеждён. Честно. Ты выстоял, когда я ждал бегства, и ударил, когда я ждал, что выстоишь. Твоего знамени я не забуду."
"Beaten. I shall write it down as an expense and you as a creditor. I pay my creditors. Eventually, and never in full.","Побеждён. Запишу это как расход, а тебя как заимодавца. Заимодавцам я плачу. Со временем и никогда полностью."
"Beaten. My brother would have a speech for this. I have only a road home and a great many arrows still in the quiver.","Побеждён. У брата нашлась бы на это речь. У меня есть лишь дорога домой и весьма много стрел в колчане."
"Camp taken. At the run. Next one is yours, if you are quick.","Лагерь взят. С ходу. Следующий твой, если поспешишь."
"Cohorts moving. Fast. Keep up if you can.","Когорты двинулись. Быстро. Поспевай, если сможешь."
"Cohorts, forward. Fast. Hit them before they finish thinking.","Когорты, вперёд. Быстро. Ударь по ним, пока они не додумали."
"Done. You came at the wrong tempo and I was already inside it. Lie down; the surgeons work through the fallen in the order they fell.","Кончено. Ты пришёл не в том темпе, а я был уже внутри него. Ложись; лекари обходят павших в том порядке, в каком они пали."
"Down, then. Tell them Marcellus died forward. Tell them the ground was worth it. Both are true.","Пал, значит. Скажите им, что Марцелл умер лицом вперёд. Скажите, что земля того стоила. И то и другое правда."
"Down. You came in fast and hungry, and hungry things walk into snares. Rest. The country will not miss you.","Пал. Ты пришёл быстрым и голодным, а голодное входит в силки. Отдыхай. Страна по тебе не заскучает."
"Finished. I shall put your camp in the books as a purchase. Blood is a currency like any other; you simply overpaid.","Закончено. Впишу твой лагерь в книги как покупку. Кровь — такая же монета, как всякая другая; ты просто переплатил."
"Finished. You fought like a wall - solid, honest, and completely unable to turn around.","Закончено. Ты дрался как стена: крепко, честно и совершенно не умея повернуться."
"First blood. Good. I was beginning to worry you were one of those enemies who negotiate.","Первая кровь. Хорошо. Я уж боялся, что ты из тех врагов, что ведут переговоры."
"Forward, in order. If you have a reserve, this would be the moment to discover it does not exist.","Вперёд, в порядке. Если у тебя есть резерв, сейчас самое время обнаружить, что его нет."
"Forward, in pay order. Mercenaries fight best when they can see the paymaster watching.","Вперёд, по платёжной ведомости. Наёмники дерутся лучше, когда видят, что казначей смотрит."
"Forward, quietly. The best charge is the one the enemy hears about afterwards.","Вперёд, тихо. Лучший натиск тот, о котором враг узнаёт после."
"Forward. If it seems too easy, that is because it is meant to.","Вперёд. Если кажется слишком лёгким, то так и задумано."
"Fresh cohorts on the road. They march fast because I told them to.","Свежие когорты на дороге. Идут быстро, потому что я велел."
"Good. An enemy who shows up. Half my career was spent chasing ones who did not. Let us get on with it.","Хорошо. Враг, который явился. Полжизни я гонялся за теми, кто не являлся. Приступим."
"Hitting my camp, are we? Every stone you knock loose has already been invoiced to your treasury.","Значит, бьёшь по моему лагерю? Каждый выбитый камень уже выставлен счётом твоей казне."
"Hitting my camp. Spend your strength there while my hunters spend theirs on your wagons.","Бьёшь по моему лагерю. Трать там силы, пока мои охотники тратят свои на твоих обозах."
"Hitting my walls, are you. Every man you spend there is one I need not outwit later.","Значит, у моих стен. Каждый человек, потраченный там, — тот, кого мне не придётся перехитрять после."
"I am advancing. It will not look like much. It is not meant to.","Я наступаю. Выглядеть это будет невелико. Так и задумано."
"I am at the end of what patience can buy. Come, or write to my family. Either will do; only one is useful.","Я исчерпал всё, что можно купить терпением. Приходи или напиши моей семье. И то и другое сгодится; полезно только одно."
"I am attacking. Do not take it personally; I am simply collecting on ground you owe me.","Я атакую. Не принимай на свой счёт; я лишь взыскиваю землю, которую ты мне должен."
"I am attacking. Hold your side. If this is wasted, I shall be sending you the bill.","Я атакую. Держи свою сторону. Если это пропадёт впустую, я пришлю тебе счёт."
"I am attacking. If you wished to be consulted, you should have brought more men.","Я атакую. Если хотел, чтобы с тобой советовались, надо было привести больше людей."
"I am bleeding men, and each one was paid in advance. This is not a battle, it is an audit, and it is going badly.","Я теряю людей, и каждый оплачен вперёд. Это не битва, это ревизия, и она идёт скверно."
"I am coming at you now. All of it. Do not blink; you will miss the only part that matters.","Я иду на тебя сейчас. Всем. Не моргай; пропустишь единственную часть, которая важна."
"I am coming for you. Not from where you are looking. I never come from where you are looking.","Я иду за тобой. Не оттуда, куда ты смотришь. Я никогда не прихожу оттуда, куда ты смотришь."
"I am down to the last of them. If you are coming, run.","У меня остались последние. Если идёшь — беги."
"I am going in. Now. Hit them from your side or watch me do it alone.","Я вхожу. Сейчас. Ударь со своей стороны или смотри, как я делаю это один."
"I am losing cohorts faster than the treasury can replace them, and the treasury is quicker than you think.","Я теряю когорты быстрее, чем казна успевает их восполнить, а казна быстрее, чем ты думаешь."
"I am losing men and I cannot replace them out here. If you have spare, I have work for them.","Я теряю людей и здесь их не восполню. Если у тебя есть лишние, у меня для них работа."
"I am losing men at a rate I do not care for. The ledger still balances. Do not let it stop balancing.","Я теряю людей в темпе, который мне не по нраву. Книги пока сходятся. Не дай им перестать сходиться."
"I am losing men fast. Faster than I like, and I like it fast. Something has to change.","Я теряю людей быстро. Быстрее, чем люблю, а люблю я быстро. Что-то должно измениться."
"I am losing men. Not to cleverness, to weight. Lend me some of yours, or a distraction, or both.","Я теряю людей. Не от хитрости, от веса. Одолжи мне своих, или отвлеки их, или и то и другое."
"I am moving on them. Do not follow me directly; be where they run to.","Я иду на них. Не иди за мной прямо; будь там, куда они побегут."
"I am moving on them. Slowly, from the high ground. Do not wait for me; be where they break to.","Я иду на них. Медленно, с высоты. Не жди меня; будь там, где они сломаются."
"I am nearly done here. Nearly. The last few are hunters, and hunters are patient about dying.","Я здесь почти закончил. Почти. Последние — охотники, а охотники терпеливы в умирании."
"I am nearly done, they say. I have crossed mountains on nearly. Do not count what is left of me; count what it is still holding.","Говорят, со мной почти покончено. Я переходил горы на этом «почти». Не считай, что от меня осталось; считай, что это ещё держит."
"I am nearly finished, they say. Nearly. A fire is nearly out for a long time before it goes cold, and it burns fingers all the while.","Говорят, я почти кончен. Почти. Огонь бывает почти потухшим долго, прежде чем остынет, и всё это время жжёт пальцы."
"I am nearly finished. I would rather not be. Consider this an invoice for immediate assistance.","Я почти кончен. Предпочёл бы обратное. Считай это счётом за немедленную помощь."
"I am nearly out of men. Nearly. The last handful are the ones who stayed, and those are the ones you should fear.","У меня почти не осталось людей. Почти. Последняя горсть — те, кто остался, и вот их тебе и следует бояться."
"I am sending men forward now. Not many. Enough. One does not empty the granary to kill a fox.","Я высылаю людей вперёд. Немного. Достаточно. Амбар не опустошают, чтобы убить лису."
"I am sending the cohorts down now. Count them as they come. It will give you something to do with your last minutes.","Я спускаю когорты вниз. Считай их, пока идут. Будет чем занять последние минуты."
"I am sending the column now. It will not look like an attack until it is one.","Я высылаю колонну. Она не будет похожа на атаку, пока ею не станет."
"I see your banners. I saw others like them, years ago; they made excellent kindling. Take your time. I intend to take mine.","Вижу твои знамёна. Я видел такие же годы назад; они пошли на отменную растопку. Не спеши. Я тоже намерен не спешить."
"Keep the field, then. Rome does not lose provinces - she lends them, at interest. My accountants will be along in the spring, and they are far less pleasant than I am.","Оставь себе поле. Рим не теряет провинций — он ссужает их под проценты. Мои счетоводы явятся весной, и они куда неприятнее меня."
"Look at that. You are bleeding out and still holding the ground. Brave. Wrong, but brave.","Погляди-ка. Ты истекаешь кровью и всё ещё держишь землю. Храбро. Ошибочно, но храбро."
"Look at them fall. I did warn you that arithmetic is cruel, and I am only its clerk.","Смотри, как они падают. Я ведь предупреждал, что арифметика жестока, а я всего лишь её писец."
"Look at your line. Brave men, standing where the arrows are. Whose idea was that?","Взгляни на свой строй. Храбрецы, стоящие там, куда летят стрелы. Чья это была мысль?"
"Look at your line. Brave, disciplined, and in exactly the wrong place. Rome taught you well.","Взгляни на свой строй. Храбрый, выученный и ровно не на том месте. Рим научил тебя хорошо."
"Look at your losses. Whoever is paying for this war is getting very poor value.","Взгляни на свои потери. Кто бы ни платил за эту войну, он получает очень мало за свои деньги."
"Lost. I did say this was the Barcids' kind of war. Nobody listens to the man who keeps the books until the books are empty.","Проиграно. Я же говорил, что это война Баркидов. Человека при книгах не слушают, пока книги не опустеют."
"Lost. We fought their war instead of ours. Next time we choose the field before we choose the fight.","Проиграно. Мы вели их войну вместо своей. В следующий раз выберем поле прежде, чем выберем бой."
"Lost. We ran out of arrows or out of time; in this country they are the same thing.","Проиграно. У нас кончились стрелы или время; в этой стране это одно и то же."
"Lost. We were quicker than we should have been, or slower. I shall spend the winter deciding which.","Проиграно. Мы были быстрее, чем следовало, или медленнее. Проведу зиму, решая что именно."
"Lost. We were slow when it mattered. I will say so to anyone who asks, including you.","Проиграно. Мы промедлили, когда это было важно. Скажу это всякому, кто спросит, и тебе тоже."
"More men are on the road. I did not send for them out of fear; I sent for them because there is room.","По дороге идут ещё люди. Я послал за ними не от страха; я послал, потому что есть место."
"More men coming. Not for you to see - for you to feel.","Идут ещё люди. Не чтобы ты их видел — чтобы ты их почувствовал."
"More of mine are coming down the road. I know - I did not tell you. That was rather the idea.","Ещё мои спускаются по дороге. Знаю — я тебя не предупредил. В том и был замысел."
"More of mine are coming. I sent for them before you arrived; a hunter sets the snare before he sees the deer.","Идут ещё мои. Я послал за ними до твоего прихода; охотник ставит силок прежде, чем увидит оленя."
"More of my hired men are coming down the road. Fresh, fed, and paid. You cannot say the same for yours.","Ещё мои наёмные спускаются по дороге. Свежие, сытые и оплаченные. О твоих того же не скажешь."
"My archers advance. When their line looks at me, it is not looking at you.","Мои лучники наступают. Когда их строй смотрит на меня, он не смотрит на тебя."
"My archers are moving up. Look to your flanks; that is where the country runs thin.","Мои лучники выдвигаются. Береги фланги; там страна редеет."
"My camp is taking hits. I can hold. I would rather kill them with you than hold without you.","Мой лагерь принимает удары. Я удержусь. Но лучше бить их с тобой, чем держаться без тебя."
