"source","translation_pl_PL"
"Slides the view over the battlefield and keeps going while held. Either the arrows or WASD; hold Shift to cover twice the ground per step.","Przesuwa widok nad polem bitwy i jedzie dalej, dopóki trzymasz klawisz. Strzałki albo WASD; przytrzymaj Shift, by na krok pokonać dwa razy więcej terenu."
"Middle-drag","Przeciąganie środkowym"
"Drag pan","Przesuwanie przeciąganiem"
"Hold middle button and drag","Przytrzymaj środkowy przycisk i przeciągnij"
"Drags the ground under the cursor. Edge scroll pauses while you drag so the two never fight.","Ciągnie ziemię pod kursorem. Przewijanie przy krawędzi zamiera na czas przeciągania, żeby jedno nie walczyło z drugim."
"Wheel or %1","Kółko lub %1"
"Zoom","Przybliżenie"
"Mouse wheel, or %1","Kółko myszy lub %1"
"Moves the camera closer to and further from the battle.","Przysuwa kamerę do bitwy i odsuwa ją od niej."
"Rotate","Obrót"
"Swings the view around the point you are looking at. Hold Shift to swing further, or hold Alt and drag with the middle button.","Obraca widok wokół punktu, na który patrzysz. Przytrzymaj Shift, by obrócić dalej, albo przytrzymaj Alt i przeciągnij środkowym przyciskiem."
"Tilt","Pochylenie"
"Raises the camera towards an overhead view or lowers it towards the horizon. Hold Shift to tilt further.","Podnosi kamerę ku widokowi z góry albo opuszcza ją ku horyzontowi. Przytrzymaj Shift, by pochylić dalej."
"Click minimap","Kliknięcie minimapy"
"Minimap jump","Skok po minimapie"
"Click or drag the minimap","Kliknij lub przeciągnij minimapę"
"Left-click jumps the camera there; right-click sends the selection there.","Lewy przycisk przenosi tam kamerę; prawy wysyła tam zaznaczone jednostki."
"Top bar button","Przycisk na górnym pasku"
"Follow selection","Śledź zaznaczenie"
"Follow button, top bar","Przycisk śledzenia na górnym pasku"
"Keeps the camera on whatever you have selected until you switch it off.","Trzyma kamerę na tym, co masz zaznaczone, dopóki tego nie wyłączysz."
"Reset camera","Zresetuj kamerę"
"%1, or the Reset button in the top bar","%1 albo przycisk Resetuj na górnym pasku"
"Returns the view to your own camp, framed the way the battle opened.","Przywraca widok do twojego obozu, ustawiony tak jak na początku bitwy."
"Moving the camera","Poruszanie kamerą"
"Hide the camera legend","Ukryj legendę kamery"
"Camera settings","Ustawienia kamery"
"Aleria","Aleria"
"Ariminum","Ariminum"
"Capua","Kapua"
"Caralis","Caralis"
"Carthage","Kartagina"
"Carthage Core","Rdzeń Kartaginy"
"Carthaginian Iberia","Iberia kartagińska"
"Cirta","Cirta"
"Cisalpine Gaul","Galia Przedalpejska"
"Corsica","Korsyka"
"Emporiae","Emporiae"
"Etruria","Etruria"
"Iberian Interior","Wnętrze Iberii"
"Illyrian Coast","Wybrzeże iliryjskie"
"Illyrian Interior","Wnętrze Ilirii"
"Leptis","Leptis"
"Libya","Libia"
"Lilybaeum","Lilybaeum"
"Massalia","Massalia"
"Mediolanum","Mediolanum"
"New Carthage","Nowa Kartagina"
"Numantia","Numancja"
"Numidia","Numidia"
"Placentia","Placentia"
"Roman Core","Rdzeń rzymski"
"Rome","Rzym"
"Saguntum","Sagunt"
"Salona","Salona"
"Sardinia","Sardynia"
"Sicily","Sycylia"
"Southern Italy","Italia południowa"
"Syracuse","Syrakuzy"
"Tarentum","Tarent"
"Tarraco","Tarraco"
"Tingis","Tingis"
"Transalpine Gaul","Galia Zaalpejska"
"Veii","Weje"
"Campaign War Table • Mediterranean Theater","Stół wojenny kampanii • teatr śródziemnomorski"
"Campaign","Kampania"
"Campaign Chronicle •","Kronika kampanii •"
"← Back","← Wstecz"
"Campaign Chronicle","Kronika kampanii"
"Campaign Progress:","Postęp kampanii:"
"202 BC: recalled to Africa, Hannibal faces Scipio and Masinissa on the plain near Zama. The elephant lanes are prepared, the Roman camps are fortified, and the Iron Sepulcher no longer waits at the edge of history. Take all four camps and break both risings of the dead — nothing less ends this war.","202 p.n.e.: odwołany do Afryki Hannibal staje naprzeciw Scypiona i Masynissy na równinie pod Zamą. Korytarze dla słoni są przygotowane, obozy rzymskie ufortyfikowane, a Żelazny Grobowiec nie czeka już na skraju historii. Zdobądź wszystkie cztery obozy i złam oba powstania zmarłych — nic mniejszego nie zakończy tej wojny."
"215-212 BC: Capua and the Campanian allies sustain Hannibal while Rome avoids another Cannae and attacks roads, farms, and loyalties. Fortify the Punic supply quarter and break all three coordinated assaults — the quarter is not held until the last consular column lies dead in the streets.","215-212 p.n.e.: Kapua i sprzymierzeńcy z Kampanii żywią Hannibala, a Rzym unika drugich Kann i uderza w drogi, gospodarstwa i lojalność. Ufortyfikuj punicką dzielnicę zaopatrzeniową i złam wszystkie trzy zgrane natarcia — dzielnica nie jest utrzymana, dopóki ostatnia kolumna konsularna nie legnie na ulicach."
"216 BC: the consuls mass Rome's greatest field army beside the Aufidus. Yield the Punic center by design, win both cavalry wings, close the double envelopment, then take the principal camp, the reserve camp, and the allied camp across the river road.","216 p.n.e.: konsulowie gromadzą nad Aufidusem największą armię polową Rzymu. Ustąp punickim środkiem zgodnie z planem, wygraj oba skrzydła jazdy, zamknij podwójne okrążenie, a potem zdobądź obóz główny, obóz odwodowy i obóz sprzymierzeńców przy drodze za rzeką."
"217 BC: Flaminius pursues along the northern shore of Lake Trasimene. Mist closes the road between lake and wooded height — and it will not hold for long. Strike the length of the column and seize both field posts within twenty minutes, before the air clears and a cohort carries word out of the basin.","217 p.n.e.: Flaminiusz idzie w pościg wzdłuż północnego brzegu Jeziora Trazymeńskiego. Mgła zamyka drogę między jeziorem a zalesionym wzgórzem — i nie utrzyma się długo. Uderz na całą długość kolumny i zajmij oba posterunki polowe w ciągu dwudziestu minut, zanim powietrze się przejaśni i kohorta wyniesie wieść z kotliny."
"218 BC, winter: Sempronius Longus accepts the bait and drives his hungry army through the freezing Trebia. Hold the southern line and break all three crossings. You need not take his camp — you need only be standing when the river has finished with him.","218 p.n.e., zima: Semproniusz Longus łyka przynętę i pędzi swą głodną armię przez lodowatą Trebię. Utrzymaj południową linię i złam wszystkie trzy przeprawy. Nie musisz zdobywać jego obozu — musisz tylko stać, gdy rzeka skończy z nim swoje."
"218 BC: Hannibal turns from the Rhône into the Alps with soldiers, cavalry, baggage animals, and elephants. The pass cannot be taken by the sword alone — it must be paid for in timber, stone and iron. Set your builders to the slopes while the mountain peoples contest every switchback; do not follow the grave-lights into the snow.","218 p.n.e.: Hannibal skręca znad Rodanu w Alpy z piechotą, jazdą, jucznymi zwierzętami i słoniami. Przełęczy nie zdobędzie sam miecz — trzeba za nią zapłacić drewnem, kamieniem i żelazem. Poślij budowniczych na stoki, gdy górskie ludy bronią każdego zakrętu; nie idź za grobowymi światłami w śnieg."
"218 BC: near the Ticinus, Scipio's reconnaissance force tests Hannibal's cavalry. Win the mounted engagement, cut the bridge road, and overrun both Roman camps before their scouts carry a clean account back to the consul.","218 p.n.e.: nad Ticinusem siły rozpoznawcze Scypiona wystawiają na próbę jazdę Hannibala. Wygraj starcie konne, przetnij drogę mostową i rozbij oba obozy rzymskie, zanim ich zwiadowcy zaniosą konsulowi rzetelną relację."
"218 BC: the Rhône must be secured faster than Publius Cornelius Scipio can bring his army from Massalia. In this altered campaign, Roman advance posts hold the eastern approaches. Cross by ford, pontoon, or wooded detour and seize their river camps.","218 p.n.e.: Rodan trzeba opanować szybciej, niż Publiusz Korneliusz Scypion zdoła sprowadzić armię z Massalii. W tej odmienionej kampanii rzymskie posterunki przednie trzymają wschodnie podejścia. Przepraw się brodem, po pontonach albo leśnym obejściem i zajmij ich obozy nad rzeką."
"At dawn the market still stands and the consular roads are choked with Roman shields. Campania has bought the army another season, though every ally now understands how long Rome is willing to bleed.","O świcie targ wciąż stoi, a drogi konsularne są zapchane rzymskimi tarczami. Kampania kupiła armii kolejny sezon, choć każdy sprzymierzeniec rozumie już, jak długo Rzym gotów jest krwawić."
"Command Hannibal's Carthaginian army from the Alpine invasion of 218 BC to Zama in 202 BC. Break Roman camps, take fortified towns, preserve allied economies, and survive the Republic's answering legions while the Iron Sepulcher watches from roads older than either empire.","Dowodź armią kartagińską Hannibala od inwazji alpejskiej w 218 p.n.e. po Zamę w 202 p.n.e. Rozbijaj rzymskie obozy, zdobywaj ufortyfikowane miasta, chroń gospodarki sprzymierzeńców i przetrwaj odpowiedź legionów Republiki, gdy Żelazny Grobowiec patrzy z dróg starszych niż oba imperia."
"Flaminius and much of his army are lost beside the lake. Rome names Fabius dictator. In the drowned reeds, an Iron Sepulcher altar has fed well without choosing a side.","Flaminiusz i większość jego armii giną nad jeziorem. Rzym mianuje Fabiusza dyktatorem. W zatopionych trzcinach ołtarz Żelaznego Grobowca najadł się do syta, nie wybierając strony."
"The Barcid Road","Droga Barkidów"
"The Roman army is destroyed and the camps are taken, yet Rome refuses negotiation. So many dead lie on the plain that the Sepulcher's iron bells sound beneath the earth for seven nights.","Armia rzymska jest zniszczona, obozy zdobyte, a jednak Rzym odmawia rokowań. Na równinie leży tylu zabitych, że żelazne dzwony Grobowca biją pod ziemią przez siedem nocy."
"The Roman screen breaks and Scipio is carried from the field wounded. The Insubres see that Carthage can defeat Rome on Italian ground—but pale riders still haunt the abandoned ford.","Rzymska zasłona pęka, a rannego Scypiona wynoszą z pola. Insubrowie widzą, że Kartagina potrafi pokonać Rzym na italskiej ziemi — lecz przy opuszczonym brodzie wciąż straszą bladzi jeźdźcy."
"The column reaches the plain of the Po diminished but unbroken. Italy lies below, and fires answer from Gallic settlements. Behind you, the sealed shrine in the pass begins counting the dead.","Kolumna schodzi na równinę Padu przerzedzona, lecz niezłamana. Italia leży niżej, a z osad galijskich odpowiadają ogniska. Za tobą zapieczętowana kaplica na przełęczy zaczyna liczyć zmarłych."
"The ferries and supply road belong to Carthage. Scipio finds abandoned standards and cold cooking fires; Hannibal is already turning toward the mountains.","Promy i droga zaopatrzeniowa należą do Kartaginy. Scypion zastaje porzucone znaki i wystygłe ogniska; Hannibal już zwraca się ku górom."
"The last standards fall under an African sky. Rome and Carthage will remember the field differently; the Iron Sepulcher remembers only that both armies finally entered its reach.","Ostatnie znaki padają pod afrykańskim niebem. Rzym i Kartagina zapamiętają to pole inaczej; Żelazny Grobowiec pamięta tylko tyle, że obie armie w końcu weszły w jego zasięg."
"The survivors flee toward Placentia through sleet and mud. Roman tents, grain, and weapons are captured; bodies beneath the ice rise only when nobody is watching.","Ocaleni uciekają ku Placentii przez deszcz ze śniegiem i błoto. Rzymskie namioty, zboże i broń zostają zdobyte; ciała pod lodem podnoszą się tylko wtedy, gdy nikt nie patrzy."
"Not enough wood, stone, or iron to recruit this unit.","Za mało drewna, kamienia lub żelaza, by rekrutować tę jednostkę."
"Click to dismiss","Kliknij, aby zamknąć"
"Their commander is dead. The host breaks and its camps stand empty.","Ich dowódca nie żyje. Zastęp pierzcha, a jego obozy stoją puste."
"%1 has lost its commander. The host breaks and its camps stand empty.","%1 stracił dowódcę. Zastęp pierzcha, a jego obozy stoją puste."
"Quintus Fabius Maximus","Kwintus Fabiusz Maksymus"
"Rome's delaying strategist who preserves armies through discipline and staying power.","Rzymski strateg zwłoki, który ocala armie dyscypliną i wytrwałością."
"A campaign and scenario commander; never produced from a barracks.","Dowódca kampanii i scenariuszy; nigdy nie powstaje w koszarach."
"Heavy spear commander who anchors a disciplined battle line.","Dowódca ciężkiej włóczni, który spina zdyscyplinowaną linię bojową."
"Boosts nearby troop endurance and slows collapse in grind fights.","Zwiększa wytrzymałość pobliskich oddziałów i spowalnia załamanie w walkach na wyniszczenie."
"Lower offensive pressure and weaker pursuit potential.","Mniejszy napór ofensywny i słabszy potencjał pościgu."
"Fabian Endurance keeps nearby cohorts in line for prolonged fighting.","Fabiańska Wytrwałość utrzymuje pobliskie kohorty w szyku podczas długiej walki."
"Nearby allied spearmen regenerate health fastest inside the aura.","Pobliscy sojuszniczy włócznicy najszybciej odzyskują zdrowie w zasięgu aury."
"Rally of Patience stabilizes wavering lines during attritional combat.","Zbiórka Cierpliwości stabilizuje chwiejące się linie w walce na wyniszczenie."
"If killed or wounded, nearby allies lose confidence and the aura shuts off.","Gdy zginie lub odniesie rany, pobliscy sojusznicy tracą pewność, a aura gaśnie."
"Bracing Thrust","Podparte pchnięcie"
"Publius Cornelius Scipio","Publiusz Korneliusz Scypion"
"Aggressive Roman consul focused on decisive strikes and tactical initiative.","Zaczepny konsul rzymski nastawiony na rozstrzygające uderzenia i inicjatywę taktyczną."
"Sword-and-shield infantry commander who leads close behind the main assault line.","Dowódca piechoty z mieczem i tarczą, który idzie tuż za główną linią natarcia."
"Improves nearby offensive output and enables sharper counter-pushes.","Zwiększa siłę ognia pobliskich oddziałów i umożliwia ostrzejsze kontrnatarcia."
"More vulnerable if isolated away from supporting infantry.","Bardziej narażony, gdy odetnie się go od wspierającej piechoty."
"Consular Assault boosts nearby legion attack tempo.","Szturm Konsularny przyspiesza tempo ataku pobliskiego legionu."
"Nearby allied swordsmen gain the most bonus damage in aura range.","Pobliscy sojuszniczy miecznicy zyskują w zasięgu aury najwięcej dodatkowych obrażeń."
"Consular Rally rapidly restores morale to wavering assault cohorts.","Zbiórka Konsularna szybko przywraca morale chwiejącym się kohortom szturmowym."
"Death of the consul causes a severe morale shock to nearby Romans.","Śmierć konsula wywołuje ciężki wstrząs morale u pobliskich Rzymian."
"Consular Riposte","Riposta konsularna"
"Marcus Claudius Marcellus","Marek Klaudiusz Marcellus"
"Roman field commander known for fast shock actions and relentless pressure.","Rzymski dowódca polowy znany z szybkich uderzeń i nieustępliwego naporu."
"Lightly armored bow commander who supports aggressive vanguard action.","Lekko opancerzony dowódca łuczników, który wspiera zaczepne działania straży przedniej."
"Raises maneuver speed for nearby troops, enabling faster local redeployment.","Podnosi szybkość manewru pobliskich oddziałów, ułatwiając szybkie przegrupowania."
"Lower staying power than other Roman commanders.","Mniejsza odporność niż u innych rzymskich dowódców."
"Vanguard Tempo accelerates nearby infantry movement and line repositioning.","Tempo Straży Przedniej przyspiesza ruch pobliskiej piechoty i przestawianie linii."
"Nearby allied archers move fastest while in aura range.","Pobliscy sojuszniczy łucznicy poruszają się najszybciej w zasięgu aury."
"Vanguard Rally snaps wavering attackers back into coherent motion.","Zbiórka Straży Przedniej z powrotem wprowadza chwiejących się napastników w zwarty ruch."
"If Marcellus falls, nearby attackers suffer immediate morale drop.","Gdy Marcellus padnie, pobliscy napastnicy natychmiast tracą morale."
"Point-blank Volley","Salwa z bliska"
"Hanno the Great","Hannon Wielki"
"Carthaginian phalanx commander who holds ground with hired spear levies.","Kartagiński dowódca falangi, który trzyma teren najemnym pospolitym ruszeniem włóczników."
"Bronze-spear commander coordinating disciplined mercenary infantry.","Dowódca spiżowej włóczni, który zgrywa zdyscyplinowaną piechotę najemną."
"Keeps a braced spear line standing far longer than it should.","Utrzymuje podpartą linię włóczni na nogach o wiele dłużej, niż powinna wytrzymać."
"Mediocre direct combat impact and risky if exposed.","Przeciętny wpływ na walkę wręcz i ryzykowny, gdy się odsłoni."
"Contract Discipline knits nearby spear levies into an unbroken hedge.","Kontraktowa Dyscyplina zbija pobliskie oddziały włóczników w nieprzerwany żywopłot."
"Nearby allied spearmen recover health fastest inside the aura.","Pobliscy sojuszniczy włócznicy najszybciej odzyskują zdrowie w zasięgu aury."
"Treasury Rally restores wavering troops and keeps formations from breaking.","Zbiórka Skarbca podnosi chwiejące się oddziały i nie pozwala szykom pęknąć."
"Death triggers contract panic, reducing confidence in nearby troops.","Jego śmierć wywołuje kontraktową panikę, obniżając pewność pobliskich oddziałów."
"Phalanx Sweep","Zamiatanie falangi"
"Hasdrubal Barca","Hazdrubal Barkas"
"Mobile Carthaginian field commander built around decisive flanking momentum.","Ruchliwy kartagiński dowódca polowy zbudowany wokół rozstrzygającego rozpędu na skrzydle."
"Fast bow commander built around flanking pressure and withdrawal.","Szybki dowódca łuczników nastawiony na napór ze skrzydła i odskok."
"Increases nearby unit speed for coordinated flanks and withdrawals.","Zwiększa szybkość pobliskich jednostek dla zgranych oskrzydleń i odwrotów."
"Less resilient in prolonged frontal attrition.","Mniej odporny w długiej walce czołowej na wyniszczenie."
"Barcid Maneuver grants nearby troops superior movement control.","Manewr Barkidów daje pobliskim oddziałom lepszą kontrolę ruchu."
"Nearby allied archers gain the most movement speed in aura range.","Pobliscy sojuszniczy łucznicy zyskują w zasięgu aury najwięcej szybkości."
"Flank Rally rapidly restores wavering units preparing to maneuver.","Zbiórka Skrzydłowa szybko podnosi chwiejące się jednostki szykujące się do manewru."
"Loss of Hasdrubal sharply drops morale among nearby mobile forces.","Utrata Hazdrubala gwałtownie obniża morale pobliskich sił ruchomych."
"Hunting Shot","Strzał myśliwski"
"Hannibal Barca","Hannibal Barkas"
"Carthage's premier battlefield commander from the Hannibal campaign.","Główny dowódca polowy Kartaginy z kampanii Hannibala."
"Elite sword commander with an iconic standard and sacred-band armor.","Elitarny dowódca miecza z rozpoznawalnym znakiem i zbroją świętego zastępu."
"Delivers a strong nearby attack bonus and elite crisis rally response.","Daje silną premię do ataku w pobliżu i elitarną zbiórkę w chwili kryzysu."
"High-value target; losing him causes severe local collapse.","Cel wysokiej wartości; jego utrata powoduje ciężkie miejscowe załamanie."
"Hannibalic Offensive amplifies nearby attack power before decisive engagements.","Ofensywa Hannibalska wzmacnia siłę ataku w pobliżu przed rozstrzygającym starciem."
"Nearby allied swordsmen gain substantial attack damage in aura range.","Pobliscy sojuszniczy miecznicy zyskują w zasięgu aury znaczne obrażenia ataku."
"Supreme Rally restores routing or wavering units to fighting order.","Zbiórka Najwyższa przywraca uciekające lub chwiejące się jednostki do porządku bojowego."
"If Hannibal is killed or wounded, nearby allied morale takes a heavy shock and aura ends.","Gdy Hannibal zginie lub odniesie rany, morale pobliskich sojuszników mocno leci w dół, a aura gaśnie."
"Encircling Cut","Cięcie okrążające"
"Iron and Ember","Żelazo i żar"
"Scale %1×  ·  %2  ·  colour vision: %3","Skala %1×  ·  %2  ·  widzenie barw: %3"
"reduced motion","ograniczony ruch"
"full motion","pełny ruch"
"Typefaces","Kroje pisma"
"Display: the quick brown fox","Nagłówkowy: zażółć gęślą jaźń"
"Body: the quick brown fox jumps over the lazy dog","Tekstowy: pchnąć w tę łódź jeża lub ośm skrzyń fig"
"Buttons","Przyciski"
"Primary","Główny"
"Secondary","Drugorzędny"
"Destructive","Niszczący"
"Disabled","Wyłączony"
"Unavailable in this state","Niedostępne w tym stanie"
"Search","Szukaj"
"Selected","Zaznaczony"
"Orders","Rozkazy"
"Attack","Atakuj"
"Guard","Strzeż"
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Zakotwicz oddziały w punkcie. Wychodzą naprzeciw temu, co się zbliży, i wracają."
"Holding a spot","Trzyma punkt"
"Reach","Zasięg"
"They fight what comes within 10 m of that spot, and drop a target that leaves it.","Biją się z tym, co wejdzie w 10 m od punktu, i porzucają cel, który go opuści."
"Release","Zwolnij"
"Press Guard again, or order a move or attack.","Naciśnij Strzeż ponownie albo wydaj rozkaz ruchu lub ataku."
"Patrol","Patroluj"
"Rally","Zbiórka"
"Build","Buduj"
"Build is only available to builders","Budowanie jest dostępne tylko dla budowniczych"
"Unit activities","Zajęcia jednostek"
"Faction skins","Skórki frakcji"
"Selection","Zaznaczenie"
"Roman Spearmen ×24","Włócznicy rzymscy ×24"
"Defense formation","Szyk obronny"
"In the field","W polu"
"A collapsible block of detail. The unit panel stacks one per topic.","Zwijany blok szczegółów. Panel jednostki układa po jednym na temat."
"Spearmen","Włócznicy"
"Archers","Łucznicy"
"Inputs","Pola wprowadzania"
"Balanced","Zrównoważony"
"Aggressive","Agresywny"
"Defensive","Obronny"
"Reduced motion","Ograniczony ruch"
"Collapses transitions to an instant state change","Zwija przejścia do natychmiastowej zmiany stanu"
"Objectives","Cele"
"Capture the eastern barracks","Zdobądź wschodnie koszary"
"Hold the ford until dusk","Utrzymaj bród do zmierzchu"
"Do not lose the commander","Nie strać dowódcy"
"Take no losses","Nie ponieś strat"
"Notification priorities","Priorytety powiadomień"
"Commander under attack","Dowódca atakowany"
"Eastern approach, 3 hostiles","Wschodnie podejście, 3 wrogów"
"Barracks destroyed","Koszary zniszczone"
"Spearmen ready","Włócznicy gotowi"
"Supply route restored","Szlak zaopatrzenia przywrócony"
"Press a key or click a mouse button. Backspace clears it, Esc cancels.","Naciśnij klawisz lub kliknij przycisk myszy. Backspace czyści, Esc anuluje."
"Select a command to rebind it. Each one takes two keys, so the camera can answer to the arrows and to WASD at once.","Wybierz polecenie, aby zmienić jego przypisanie. Każde przyjmuje dwa klawisze, więc kamera może słuchać naraz strzałek i WASD."
"Reset all","Przywróć wszystkie"
"Every binding is already at its default.","Wszystkie przypisania są już domyślne."
"%1 is already used by %2.","%1 jest już używane przez %2."
"Use it here anyway","Użyj tutaj mimo to"
"Keep as it is","Zostaw bez zmian"
"Taking it leaves the other command unbound.","Zabranie go zostawi tamto polecenie bez przypisania."
"Conflicts with %1","Konflikt z %1"
"Press a key…","Naciśnij klawisz…"
"Unbound","Nieprzypisane"
"Add a second key for %1","Dodaj drugi klawisz dla %1"
"Second key for %1","Drugi klawisz dla %1"
"Default","Domyślne"
"This binding is already the default.","To przypisanie jest już domyślne."
"The cursed vein is yours. It bleeds gold - and the men who guard it.","Przeklęta żyła jest twoja. Broczy złotem — i ludźmi, którzy jej strzegą."
"Enemy target","Cel wrogi"
"Cannot attack ally","Nie można zaatakować sojusznika"
"Cannot attack this target","Nie można zaatakować tego celu"
"Selection cannot attack","Zaznaczone jednostki nie mogą atakować"
"In range","W zasięgu"
"Too close","Za blisko"
"Out of range","Poza zasięgiem"
"No firing line","Brak linii strzału"
"Collect","Zbieraj"
"Deliver civilians","Odstaw cywilów"
"Repair","Napraw"
"Harvest grain","Zbierz zboże"
"Slaughter sheep","Ubij owcę"
"Hide these prompts","Ukryj te podpowiedzi"
"How it works","Jak to działa"
"Gold","Złoto"
"Food","Żywność"
"Wood","Drewno"
"Stone","Kamień"
"Iron","Żelazo"
"Comes from your starting treasury, mission rewards, and selling goods at a marketplace.","Pochodzi ze skarbca początkowego, nagród za misje i sprzedaży towarów na targowisku."
"Send a builder to reap a ripe farm or slaughter a sheep with Collect, or leave Auto Gather running. Recruiting a civilian at a home spends it.","Wyślij budowniczego, by rozkazem Zbieraj zżął dojrzałe pole albo ubił owcę, lub zostaw włączone auto-zbieranie. Rekrutacja cywila w domu ją zużywa."
"Send a builder to chop a tree with Collect, or leave Auto Gather running.","Wyślij budowniczego, by rozkazem Zbieraj ściął drzewo, lub zostaw włączone auto-zbieranie."
"Send a builder to a boulder with Collect, or leave Auto Gather running.","Wyślij budowniczego rozkazem Zbieraj do głazu lub zostaw włączone auto-zbieranie."
