"source","translation_es_ES"
"Push the pointer into any edge of the screen and the camera follows. Turn it off or change how wide the band is under Settings › Accessibility.","Empuja el puntero contra cualquier borde de la pantalla y la cámara le sigue. Puedes desactivarlo o cambiar el ancho de la banda en Ajustes › Accesibilidad."
"Keyboard pan","Desplazamiento con teclado"
"Right-drag","Arrastrar con derecho"
"Drag pan","Desplazamiento por arrastre"
"Hold right button and drag","Mantén el botón derecho y arrastra"
"Drags the ground under the cursor. Edge scroll pauses while you drag so the two never fight.","Arrastra el terreno bajo el cursor. El desplazamiento por el borde se detiene mientras arrastras, para que nunca se estorben."
"Zoom","Zoom"
"Rotate","Rotar"
"Swings the view around the point you are looking at. Hold Shift to swing further.","Gira la vista alrededor del punto que miras. Con Mayús gira más."
"Click minimap","Clic en el minimapa"
"Minimap jump","Salto por minimapa"
"Click or drag the minimap","Haz clic o arrastra el minimapa"
"Left-click jumps the camera there; right-click sends the selection there.","El clic izquierdo lleva la cámara allí; el derecho envía la selección."
"Top bar button","Botón de la barra superior"
"Follow selection","Seguir la selección"
"Follow button, top bar","Botón Seguir, barra superior"
"Keeps the camera on whatever you have selected until you switch it off.","Mantiene la cámara sobre lo que tengas seleccionado hasta que lo desactives."
"Reset camera","Reiniciar la cámara"
"%1 or %2","%1 o %2"
"Slides the view over the battlefield and keeps going while held. Either the arrows or WASD; hold Shift to cover twice the ground per step.","Desplaza la vista por el campo de batalla y sigue mientras mantengas la tecla. Las flechas o WASD; mantén Mayús para cubrir el doble de terreno por paso."
"Wheel or %1","Rueda o %1"
"Mouse wheel, or %1","Rueda del ratón, o %1"
"Moves the camera closer to and further from the battle.","Acerca y aleja la cámara de la batalla."
"Tilt","Inclinar"
"Raises the camera towards an overhead view or lowers it towards the horizon. Hold Shift to tilt further.","Eleva la cámara hacia una vista cenital o la baja hacia el horizonte. Mantén Mayús para inclinar más."
"%1, or the Reset button in the top bar","%1, o el botón Reiniciar de la barra superior"
"Returns the view to your own camp, framed the way the battle opened.","Devuelve la vista a tu campamento, con el encuadre con el que empezó la batalla."
"Camera controls","Controles de cámara"
"Moving the camera","Mover la cámara"
"Hide the camera legend","Ocultar la leyenda de cámara"
"Camera settings","Ajustes de cámara"
"Carthage Core","Núcleo cartaginés"
"Carthaginian Iberia","Iberia cartaginesa"
"Cisalpine Gaul","Galia Cisalpina"
"Corsica","Córcega"
"Etruria","Etruria"
"Iberian Interior","Interior ibérico"
"Libya","Libia"
"Numidia","Numidia"
"Roman Core","Núcleo romano"
"Sardinia","Cerdeña"
"Sicily","Sicilia"
"Southern Italy","Italia meridional"
"Transalpine Gaul","Galia Transalpina"
"Illyrian Coast","Costa iliria"
"Illyrian Interior","Interior ilirio"
"Aleria","Alería"
"Ariminum","Arímino"
"Capua","Capua"
"Caralis","Cáralis"
"Carthage","Cartago"
"Cirta","Cirta"
"Emporiae","Ampurias"
"Leptis","Leptis"
"Lilybaeum","Lilibeo"
"Massalia","Masalia"
"Mediolanum","Mediolano"
"New Carthage","Cartago Nova"
"Numantia","Numancia"
"Placentia","Placencia"
"Rome","Roma"
"Saguntum","Sagunto"
"Salona","Salona"
"Syracuse","Siracusa"
"Tarentum","Tarento"
"Tarraco","Tarraco"
"Tingis","Tingis"
"Veii","Veyes"
"Campaign War Table • Mediterranean Theater","Mesa de guerra de campaña • Teatro mediterráneo"
"Campaign","Campaña"
"Campaign Chronicle •","Crónica de la campaña •"
"← Back","← Atrás"
"Campaign Chronicle","Crónica de la campaña"
"Campaign Progress:","Progreso de la campaña:"
"202 BC: recalled to Africa, Hannibal faces Scipio and Masinissa on the plain near Zama. The elephant lanes are prepared, the Roman camps are fortified, and the Iron Sepulcher no longer waits at the edge of history. Take all four camps and break both risings of the dead — nothing less ends this war.","202 a. C.: llamado de vuelta a África, Aníbal se enfrenta a Escipión y Masinisa en la llanura cercana a Zama. Los pasillos para los elefantes están dispuestos, los campamentos romanos fortificados, y el Sepulcro de Hierro ya no aguarda al margen de la historia. Toma los cuatro campamentos y quiebra ambos alzamientos de los muertos: nada menos pondrá fin a esta guerra."
"215-212 BC: Capua and the Campanian allies sustain Hannibal while Rome avoids another Cannae and attacks roads, farms, and loyalties. Fortify the Punic supply quarter and break all three coordinated assaults — the quarter is not held until the last consular column lies dead in the streets.","215-212 a. C.: Capua y los aliados campanos sostienen a Aníbal mientras Roma evita otra Cannas y ataca caminos, granjas y lealtades. Fortifica el barrio de suministros púnico y quiebra los tres asaltos coordinados: el barrio no está en tus manos hasta que la última columna consular yazca muerta en las calles."
"216 BC: the consuls mass Rome's greatest field army beside the Aufidus. Yield the Punic center by design, win both cavalry wings, close the double envelopment, then take the principal camp, the reserve camp, and the allied camp across the river road.","216 a. C.: los cónsules concentran el mayor ejército de campaña de Roma junto al Áufido. Cede el centro púnico deliberadamente, vence en ambas alas de caballería, cierra el doble envolvimiento y toma después el campamento principal, el de reserva y el aliado al otro lado del camino del río."
"217 BC: Flaminius pursues along the northern shore of Lake Trasimene. Mist closes the road between lake and wooded height — and it will not hold for long. Strike the length of the column and seize both field posts within twenty minutes, before the air clears and a cohort carries word out of the basin.","217 a. C.: Flaminio persigue por la orilla norte del lago Trasimeno. La niebla cierra el camino entre el lago y la altura boscosa, y no durará mucho. Golpea a lo largo de la columna y toma ambos puestos de campaña en veinte minutos, antes de que el aire se despeje y una cohorte lleve la noticia fuera de la cuenca."
"218 BC, winter: Sempronius Longus accepts the bait and drives his hungry army through the freezing Trebia. Hold the southern line and break all three crossings. You need not take his camp — you need only be standing when the river has finished with him.","218 a. C., invierno: Sempronio Longo muerde el anzuelo y conduce a su ejército hambriento a través del gélido Trebia. Mantén la línea meridional y quiebra los tres vados. No necesitas tomar su campamento: solo necesitas seguir en pie cuando el río haya terminado con él."
"218 BC: Hannibal turns from the Rhône into the Alps with soldiers, cavalry, baggage animals, and elephants. The pass cannot be taken by the sword alone — it must be paid for in timber, stone and iron. Set your builders to the slopes while the mountain peoples contest every switchback; do not follow the grave-lights into the snow.","218 a. C.: Aníbal deja el Ródano y entra en los Alpes con soldados, caballería, animales de carga y elefantes. El paso no se toma solo con la espada: hay que pagarlo en madera, piedra y hierro. Pon a tus constructores en las laderas mientras los pueblos de la montaña disputan cada revuelta; no sigas las luces sepulcrales hacia la nieve."
"218 BC: near the Ticinus, Scipio's reconnaissance force tests Hannibal's cavalry. Win the mounted engagement, cut the bridge road, and overrun both Roman camps before their scouts carry a clean account back to the consul.","218 a. C.: cerca del Tesino, la fuerza de reconocimiento de Escipión pone a prueba a la caballería de Aníbal. Gana el combate montado, corta el camino del puente y arrasa ambos campamentos romanos antes de que sus exploradores lleven un informe fiable al cónsul."
"218 BC: the Rhône must be secured faster than Publius Cornelius Scipio can bring his army from Massalia. In this altered campaign, Roman advance posts hold the eastern approaches. Cross by ford, pontoon, or wooded detour and seize their river camps.","218 a. C.: hay que asegurar el Ródano antes de que Publio Cornelio Escipión traiga su ejército desde Masalia. En esta campaña alterada, puestos avanzados romanos guardan los accesos orientales. Cruza por vado, pontón o rodeo boscoso y toma sus campamentos del río."
"At dawn the market still stands and the consular roads are choked with Roman shields. Campania has bought the army another season, though every ally now understands how long Rome is willing to bleed.","Al amanecer el mercado sigue en pie y las vías consulares están atascadas de escudos romanos. Campania ha comprado al ejército otra estación, aunque ahora todos los aliados comprenden cuánto está dispuesta a sangrar Roma."
"Command Hannibal's Carthaginian army from the Alpine invasion of 218 BC to Zama in 202 BC. Break Roman camps, take fortified towns, preserve allied economies, and survive the Republic's answering legions while the Iron Sepulcher watches from roads older than either empire.","Comanda el ejército cartaginés de Aníbal desde la invasión alpina del 218 a. C. hasta Zama en el 202 a. C. Quiebra campamentos romanos, toma ciudades fortificadas, preserva las economías aliadas y sobrevive a las legiones con que responde la República, mientras el Sepulcro de Hierro observa desde caminos más antiguos que ambos imperios."
"Flaminius and much of his army are lost beside the lake. Rome names Fabius dictator. In the drowned reeds, an Iron Sepulcher altar has fed well without choosing a side.","Flaminio y buena parte de su ejército se pierden junto al lago. Roma nombra dictador a Fabio. Entre los juncos anegados, un altar del Sepulcro de Hierro se ha alimentado bien sin tomar partido."
"The Barcid Road","El camino bárcida"
"The Roman army is destroyed and the camps are taken, yet Rome refuses negotiation. So many dead lie on the plain that the Sepulcher's iron bells sound beneath the earth for seven nights.","El ejército romano está destruido y los campamentos tomados, y aun así Roma rehúsa negociar. Yacen tantos muertos en la llanura que las campanas de hierro del Sepulcro suenan bajo tierra durante siete noches."
"The Roman screen breaks and Scipio is carried from the field wounded. The Insubres see that Carthage can defeat Rome on Italian ground—but pale riders still haunt the abandoned ford.","La pantalla romana se quiebra y Escipión es retirado herido del campo. Los ínsubres ven que Cartago puede vencer a Roma en suelo itálico, pero jinetes pálidos siguen rondando el vado abandonado."
"The column reaches the plain of the Po diminished but unbroken. Italy lies below, and fires answer from Gallic settlements. Behind you, the sealed shrine in the pass begins counting the dead.","La columna alcanza la llanura del Po mermada pero entera. Italia se extiende abajo, y las hogueras responden desde los asentamientos galos. A tu espalda, el santuario sellado del paso empieza a contar los muertos."
"The ferries and supply road belong to Carthage. Scipio finds abandoned standards and cold cooking fires; Hannibal is already turning toward the mountains.","Las barcazas y el camino de suministros pertenecen a Cartago. Escipión encuentra estandartes abandonados y fuegos de cocina fríos; Aníbal ya se vuelve hacia las montañas."
"The last standards fall under an African sky. Rome and Carthage will remember the field differently; the Iron Sepulcher remembers only that both armies finally entered its reach.","Los últimos estandartes caen bajo un cielo africano. Roma y Cartago recordarán el campo de manera distinta; el Sepulcro de Hierro solo recuerda que ambos ejércitos entraron al fin a su alcance."
"The survivors flee toward Placentia through sleet and mud. Roman tents, grain, and weapons are captured; bodies beneath the ice rise only when nobody is watching.","Los supervivientes huyen hacia Placentia entre aguanieve y barro. Se capturan tiendas, grano y armas romanas; los cuerpos bajo el hielo se levantan solo cuando nadie mira."
"Not enough wood, stone, or iron to recruit this unit.","No hay suficiente madera, piedra o hierro para reclutar esta unidad."
"Click to dismiss","Haz clic para descartar"
"Their commander is dead. The host breaks and its camps stand empty.","Su comandante ha muerto. La hueste se quiebra y sus campamentos quedan vacíos."
"%1 has lost its commander. The host breaks and its camps stand empty.","%1 ha perdido a su comandante. La hueste se quiebra y sus campamentos quedan vacíos."
"Quintus Fabius Maximus","Quinto Fabio Máximo"
"Rome's delaying strategist who preserves armies through discipline and staying power.","El estratega dilatorio de Roma, que preserva ejércitos mediante la disciplina y la resistencia."
"A campaign and scenario commander; never produced from a barracks.","Comandante de campaña y de escenario; nunca se produce en un cuartel."
"Heavy spear commander who anchors a disciplined battle line.","Comandante de lanza pesada que ancla una línea de batalla disciplinada."
"Boosts nearby troop endurance and slows collapse in grind fights.","Aumenta la resistencia de las tropas cercanas y retrasa el colapso en combates de desgaste."
"Lower offensive pressure and weaker pursuit potential.","Menor presión ofensiva y menor capacidad de persecución."
"Fabian Endurance keeps nearby cohorts in line for prolonged fighting.","La Resistencia Fabiana mantiene firmes a las cohortes cercanas en combates prolongados."
"Rally of Patience stabilizes wavering lines during attritional combat.","El Llamado de la Paciencia estabiliza las líneas vacilantes durante el combate de desgaste."
"If killed or wounded, nearby allies lose confidence and the aura shuts off.","Si muere o resulta herido, los aliados cercanos pierden confianza y el aura se apaga."
"Publius Cornelius Scipio","Publio Cornelio Escipión"
"Aggressive Roman consul focused on decisive strikes and tactical initiative.","Cónsul romano agresivo, centrado en golpes decisivos y en la iniciativa táctica."
"Sword-and-shield infantry commander who leads close behind the main assault line.","Comandante de infantería de espada y escudo que dirige justo detrás de la línea de asalto principal."
"Improves nearby offensive output and enables sharper counter-pushes.","Mejora la potencia ofensiva cercana y permite contraataques más incisivos."
"More vulnerable if isolated away from supporting infantry.","Más vulnerable si queda aislado lejos de la infantería de apoyo."
"Consular Assault boosts nearby legion attack tempo.","El Asalto Consular acelera el ritmo de ataque de la legión cercana."
"Consular Rally rapidly restores morale to wavering assault cohorts.","El Llamado Consular restaura rápidamente la moral de las cohortes de asalto vacilantes."
"Death of the consul causes a severe morale shock to nearby Romans.","La muerte del cónsul causa una grave conmoción moral entre los romanos cercanos."
"Marcus Claudius Marcellus","Marco Claudio Marcelo"
"Roman field commander known for fast shock actions and relentless pressure.","Comandante de campo romano conocido por sus acciones de choque rápidas y su presión implacable."
"Lightly armored bow commander who supports aggressive vanguard action.","Comandante de arco con armadura ligera que apoya la acción agresiva de vanguardia."
"Raises maneuver speed for nearby troops, enabling faster local redeployment.","Aumenta la velocidad de maniobra de las tropas cercanas y permite redespliegues locales más rápidos."
"Lower staying power than other Roman commanders.","Menor capacidad de resistencia que otros comandantes romanos."
"Vanguard Tempo accelerates nearby infantry movement and line repositioning.","El Ritmo de Vanguardia acelera el movimiento de la infantería cercana y el reposicionamiento de la línea."
"Vanguard Rally snaps wavering attackers back into coherent motion.","El Llamado de Vanguardia devuelve a los atacantes vacilantes a un movimiento coherente."
"If Marcellus falls, nearby attackers suffer immediate morale drop.","Si Marcelo cae, los atacantes cercanos sufren una caída inmediata de moral."
"Hanno the Great","Hanón el Grande"
"Bronze-spear commander coordinating disciplined mercenary infantry.","Comandante de lanza de bronce que coordina una infantería mercenaria disciplinada."
"Mediocre direct combat impact and risky if exposed.","Impacto mediocre en combate directo y arriesgado si queda expuesto."
"Treasury Rally restores wavering troops and keeps formations from breaking.","El Llamado del Tesoro restaura a las tropas vacilantes e impide que las formaciones se quiebren."
"Death triggers contract panic, reducing confidence in nearby troops.","Su muerte desata el pánico contractual y reduce la confianza de las tropas cercanas."
"Hasdrubal Barca","Asdrúbal Barca"
"Mobile Carthaginian field commander built around decisive flanking momentum.","Comandante de campo cartaginés móvil, concebido en torno al impulso decisivo por los flancos."
"Fast bow commander built around flanking pressure and withdrawal.","Comandante de arco veloz, concebido para la presión por los flancos y la retirada."
"Increases nearby unit speed for coordinated flanks and withdrawals.","Aumenta la velocidad de las unidades cercanas para flanqueos y retiradas coordinadas."
"Less resilient in prolonged frontal attrition.","Menos resistente en un desgaste frontal prolongado."
"Barcid Maneuver grants nearby troops superior movement control.","La Maniobra Bárcida otorga a las tropas cercanas un control de movimiento superior."
"Flank Rally rapidly restores wavering units preparing to maneuver.","El Llamado de Flanco restaura rápidamente a las unidades vacilantes que se preparan para maniobrar."
"Loss of Hasdrubal sharply drops morale among nearby mobile forces.","La pérdida de Asdrúbal desploma la moral de las fuerzas móviles cercanas."
"Hannibal Barca","Aníbal Barca"
"Carthage's premier battlefield commander from the Hannibal campaign.","El principal comandante de batalla de Cartago, de la campaña de Aníbal."
"Elite sword commander with an iconic standard and sacred-band armor.","Comandante de espada de élite con un estandarte icónico y armadura del batallón sagrado."
"Delivers a strong nearby attack bonus and elite crisis rally response.","Aporta una fuerte bonificación de ataque en las cercanías y una respuesta de élite ante la crisis."
"High-value target; losing him causes severe local collapse.","Objetivo de alto valor; perderlo provoca un grave colapso local."
"Hannibalic Offensive amplifies nearby attack power before decisive engagements.","La Ofensiva Anibálica amplifica la potencia de ataque cercana antes de los combates decisivos."
"Supreme Rally restores routing or wavering units to fighting order.","El Llamado Supremo devuelve al orden de combate a las unidades en fuga o vacilantes."
"If Hannibal is killed or wounded, nearby allied morale takes a heavy shock and aura ends.","Si Aníbal muere o resulta herido, la moral aliada cercana sufre una fuerte conmoción y el aura termina."
"Nearby allied spearmen regenerate health fastest inside the aura.","Los lanceros aliados cercanos regeneran salud más rápido dentro del aura."
"Bracing Thrust","Estocada de contención"
"Nearby allied swordsmen gain the most bonus damage in aura range.","Los espaderos aliados cercanos ganan el mayor daño adicional dentro del alcance del aura."
"Consular Riposte","Réplica consular"
"Nearby allied archers move fastest while in aura range.","Los arqueros aliados cercanos se mueven más rápido dentro del alcance del aura."
"Point-blank Volley","Descarga a quemarropa"
"Carthaginian phalanx commander who holds ground with hired spear levies.","Comandante de falange cartaginés que mantiene el terreno con levas de lanceros a sueldo."
"Keeps a braced spear line standing far longer than it should.","Mantiene en pie una línea de lanzas afianzada mucho más de lo que debería."
"Contract Discipline knits nearby spear levies into an unbroken hedge.","La Disciplina Contractual teje a las levas de lanceros cercanas en un seto infranqueable."
"Nearby allied spearmen recover health fastest inside the aura.","Los lanceros aliados cercanos recuperan salud más rápido dentro del aura."
"Phalanx Sweep","Barrido de falange"
"Nearby allied archers gain the most movement speed in aura range.","Los arqueros aliados cercanos ganan la mayor velocidad de movimiento dentro del alcance del aura."
"Hunting Shot","Disparo de caza"
"Nearby allied swordsmen gain substantial attack damage in aura range.","Los espaderos aliados cercanos ganan un daño de ataque considerable dentro del alcance del aura."
"Encircling Cut","Tajo envolvente"
"Iron and Ember","Hierro y brasa"
"Scale %1×  ·  %2  ·  colour vision: %3","Escala %1×  ·  %2  ·  visión del color: %3"
"reduced motion","movimiento reducido"
"full motion","movimiento completo"
"Buttons","Botones"
"Primary","Principal"
"Secondary","Secundario"
"Destructive","Destructivo"
"Disabled","Desactivado"
"Unavailable in this state","No disponible en este estado"
"Search","Buscar"
"Selected","Seleccionado"
"Orders","Órdenes"
"Attack","Atacar"
"Guard","Proteger"
"Patrol","Patrullar"
"Rally","Reunir"
"Build","Construir"
"Build is only available to builders","Construir solo está disponible para los constructores"
"Faction skins","Aspectos de facción"
"Selection","Selección"
"Roman Spearmen ×24","Lanceros romanos ×24"
"Defense formation","Formación defensiva"
"Spearmen","Lanceros"
"Archers","Arqueros"
"Inputs","Controles"
"Balanced","Equilibrado"
"Aggressive","Agresivo"
"Defensive","Defensivo"
"Reduced motion","Movimiento reducido"
"Collapses transitions to an instant state change","Reduce las transiciones a un cambio de estado instantáneo"
"Objectives","Objetivos"
"Capture the eastern barracks","Captura el cuartel oriental"
"Hold the ford until dusk","Mantén el vado hasta el anochecer"
"Do not lose the commander","No pierdas al comandante"
"Take no losses","No sufras bajas"
"Notification priorities","Prioridades de notificación"
"Commander under attack","Comandante bajo ataque"
"Eastern approach, 3 hostiles","Acceso oriental, 3 hostiles"
"Barracks destroyed","Cuartel destruido"
"Spearmen ready","Lanceros listos"
"Supply route restored","Ruta de suministro restablecida"
"Unit activities","Actividades de las unidades"
"A collapsible block of detail. The unit panel stacks one per topic.","Un bloque de detalle plegable. El panel de unidad apila uno por tema."
"In the field","En el campo"
"Anchor troops to a spot. They step out to meet what comes near, then walk back.","Ancla a las tropas en un punto. Salen al encuentro de lo que se acerca y luego regresan."
"Holding a spot","Mantiene un punto"
"Reach","Alcance"
"They fight what comes within 10 m of that spot, and drop a target that leaves it.","Combaten lo que entre a 10 m de ese punto y sueltan al objetivo que se aleja."
"Release","Liberar"
"Press Guard again, or order a move or attack.","Pulsa Guardia otra vez, u ordena moverse o atacar."
"Typefaces","Tipografías"
"Display: the quick brown fox","Titular: el veloz murciélago hindú"
"Body: the quick brown fox jumps over the lazy dog","Texto: el veloz murciélago hindú comía feliz cardillo y kiwi"
"Press a key or click a mouse button. Backspace clears it, Esc cancels.","Pulsa una tecla o un botón del ratón. Retroceso lo borra, Esc cancela."
"Reset all","Restablecer todo"
"Every binding is already at its default.","Todas las asignaciones ya están en su valor predeterminado."
"%1 is already used by %2.","%1 ya lo usa %2."
"Use it here anyway","Usarlo aquí de todos modos"
"Keep as it is","Dejarlo como está"
"Taking it leaves the other command unbound.","Tomarlo deja el otro comando sin asignar."
"Conflicts with %1","Entra en conflicto con %1"
"Press a key…","Pulsa una tecla…"
"Unbound","Sin asignar"
"Default","Predeterminado"
"This binding is already the default.","Esta asignación ya es la predeterminada."
"Select a command to rebind it. Each one takes two keys, so the camera can answer to the arrows and to WASD at once.","Elige un comando para reasignarlo. Cada uno admite dos teclas, así que la cámara puede responder a las flechas y a WASD a la vez."
"Add a second key for %1","Añadir una segunda tecla para %1"
"Second key for %1","Segunda tecla para %1"
"Economy prompts","Avisos de economía"
"Stop showing these prompts","Dejar de mostrar estos avisos"
"How it works","Cómo funciona"
"Gold","Oro"
"Food","Comida"
"Wood","Madera"
"Stone","Piedra"
"Iron","Hierro"
"Comes from your starting treasury, mission rewards, and selling goods at a marketplace.","Procede de tu tesoro inicial, de las recompensas de misión y de vender mercancías en un mercado."
"Send a builder to chop a tree with Collect, or leave Auto Gather running.","Envía a un constructor a talar un árbol con Recoger, o deja activa la Recolección automática."
"Send a builder to a boulder with Collect, or leave Auto Gather running.","Envía a un constructor a una roca con Recoger, o deja activa la Recolección automática."
"Send a builder to an iron ore deposit with Collect, or leave Auto Gather running.","Envía a un constructor a un yacimiento de hierro con Recoger, o deja activa la Recolección automática."
"Home","Casa"
"Barracks","Cuartel"
"Defense Tower","Torre defensiva"
"Marketplace","Mercado"
"Temple","Templo"
"Wall Segment","Tramo de muralla"
"Wall Gate","Puerta de muralla"
"Catapult","Catapulta"
"Ballista","Balista"
"Archer","Arquero"
"Swordsman","Espadero"
"Spearman","Lancero"
"Horse Swordsman","Espadero a caballo"
"Horse Archer","Arquero a caballo"
"Horse Spearman","Lancero a caballo"
"Healer","Sanador"
"Builder","Constructor"
"Civilian","Civil"
"Elephant","Elefante de guerra"
"Recruits troops and receives everything your builders gather.","Recluta tropas y recibe todo lo que recogen tus constructores."
"Shoots at enemies that come near it.","Dispara a los enemigos que se acercan."
"Buys and sells resources for gold.","Compra y vende recursos a cambio de oro."
"Blocks enemy movement.","Bloquea el movimiento enemigo."
"Opens for your troops and allies, shut to everyone else.","Se abre para tus tropas y aliados, y permanece cerrada para los demás."
"Long-range siege engine, best against structures.","Máquina de asedio de largo alcance, ideal contra estructuras."
"Precise siege engine, best against units.","Máquina de asedio precisa, ideal contra unidades."
", and %1 more","y %1 más"
"%1 %2","%1 %2"
"No resource cost","Sin coste de recursos"
"%1 more %2","%1 más de %2"
"Nobody is gathering it right now.","Ahora mismo nadie lo está recogiendo."
"Builders gathering it: %1","Constructores recogiéndolo: %1"
"%1 being hauled to a barracks","%1 en camino a un cuartel"
"Held in your treasury; no storage limit.","Se guarda en tu tesoro; sin límite de almacenamiento."
"Hauled to a barracks yard before it is credited. The yard looks full at %1.","Se lleva al patio de un cuartel antes de contabilizarse. El patio parece lleno a partir de %1."
"Short %1 for a %2.","Faltan %1 para %2."
"%1 in store: %2","%1 en reserva: %2"
"Spent on: %1","Se gasta en: %1"
"Step 1 — Gather","Paso 1: Recoger"
"Step 2 — Build","Paso 2: Construir"
"Step 3 — Recruit","Paso 3: Reclutar"
"Step 4 — Keep an army","Paso 4: Mantener un ejército"
"Your settlement runs itself","Tu asentamiento se sostiene solo"
"Recruit a builder at a barracks, then send it to collect wood, stone or iron.","Recluta un constructor en un cuartel y envíalo a recoger madera, piedra o hierro."
"With a builder selected, press Build and place a Home to raise your population, or a Barracks to recruit from.","Con un constructor seleccionado, pulsa Construir y coloca una Casa para aumentar tu población, o un Cuartel para reclutar."
"Select a barracks and recruit troops. Each one costs population and resources, both shown on its card.","Selecciona un cuartel y recluta tropas. Cada una cuesta población y recursos, ambos indicados en su ficha."
"Gathering, building and recruiting are all under way.","La recogida, la construcción y el reclutamiento ya están en marcha."
"Send a builder to reap a ripe farm or slaughter a sheep with Collect, or leave Auto Gather running. Recruiting a civilian at a home spends it.","Envía un constructor a segar una granja madura o a sacrificar una oveja con Recolectar, o deja activa la Recolección automática. Reclutar un civil en una casa la consume."
"Farm","Granja"
"Raises civilians, who carry manpower to the nearest barracks. Each one costs food.","Cría civiles, que llevan efectivos al cuartel más cercano. Cada uno cuesta comida."
"Grows grain in cycles. A builder reaps it for food once it ripens.","Cultiva grano por ciclos. Un constructor lo siega para obtener comida cuando madura."
"Select a builder, press Collect, and click a tree, boulder, ore deposit, ripe farm or sheep. It hauls the load to a barracks yard, then goes back for more.","Selecciona un constructor, pulsa Recolectar y haz clic en un árbol, una roca, un yacimiento, una granja madura o una oveja. Lleva la carga al patio de un cuartel y vuelve a por más."
"Keep recruiting while your builders gather. Raise Homes and Farms when population or food runs out.","Sigue reclutando mientras tus constructores recolectan. Levanta casas y granjas cuando se agoten la población o la comida."
"Watches over a wide stretch of ground, holds a settlement together, and takes in healers.","Vigila una amplia extensión de terreno, mantiene unido un asentamiento y acoge a los sanadores."
"You have no builders. Recruit one at a barracks before you can gather or build.","No tienes constructores. Recluta uno en un cuartel antes de poder recoger o construir."
